numero;primeiroNome;ultimoNome;email;curso;notas*sum
915;Codie;Bethany;Codie.Bethany@gmail.com;MIEFIS;(0,5,16,18,13)
991;Celene;Howlyn;Celene.Howlyn@gmail.com;LCC;(3,8,18,10,8)
485;Ilse;An;Ilse.An@gmail.com;LCC;(19,17,18,9,3)
290;Karlee;Alfons;Karlee.Alfons@gmail.com;LCC;(9,9,11,3,10)
558;Rosanne;Penelopa;Rosanne.Penelopa@gmail.com;LCC;(2,6,7)
743;Keelia;Henebry;Keelia.Henebry@gmail.com;MIEFIS;(13,10,4,8)
815;Cecile;Kendrick;Cecile.Kendrick@gmail.com;LCC;(14,17,8,19,0,17)
329;Lory;Raseda;Lory.Raseda@gmail.com;MIEI;(15,15,18)
976;Aigneis;Wind;Aigneis.Wind@gmail.com;MIEFIS;(14,0,0)
163;Dulcinea;Andrel;Dulcinea.Andrel@gmail.com;MIEI;(14,14,4)
513;Marnia;Friede;Marnia.Friede@gmail.com;LCC;(3,15,19,7,3,18)
831;Annice;Munn;Annice.Munn@gmail.com;MIEFIS;(15,7,14,11,9,19)
459;Sheelagh;Hanleigh;Sheelagh.Hanleigh@gmail.com;MIEI;(7)
288;Melodie;Gabrielli;Melodie.Gabrielli@gmail.com;MIEI;(6)
895;Starla;Urias;Starla.Urias@gmail.com;MIEI;(11,17,12,0)
819;Shirlee;Kiersten;Shirlee.Kiersten@gmail.com;MIEFIS;(5,19,3,10,6)
906;Kristan;Tomasina;Kristan.Tomasina@gmail.com;MIEI;(5,12,12)
654;Emmey;Jacinda;Emmey.Jacinda@gmail.com;MIEI;(13)
110;Jasmina;Candy;Jasmina.Candy@gmail.com;LCC;(11,11,14,4,10,13)
877;Clo;Zuzana;Clo.Zuzana@gmail.com;MIEFIS;(3,18,0)
930;Evaleen;Carri;Evaleen.Carri@gmail.com;LCC;(12)
156;Maud;Virgin;Maud.Virgin@gmail.com;LCC;(14,15,12,8,18,0)
912;Janenna;Jacqui;Janenna.Jacqui@gmail.com;MIEI;(6,11,4)
430;Blinni;Jacobah;Blinni.Jacobah@gmail.com;MIEFIS;(12,18,13)
564;Fina;Guthrie;Fina.Guthrie@gmail.com;MIEI;(10,8,3,8,9)
664;Daune;Urania;Daune.Urania@gmail.com;MIEFIS;(4,10)
632;Merci;Durante;Merci.Durante@gmail.com;LCC;(3,15,16,2,16,12)
175;Daphne;Byrne;Daphne.Byrne@gmail.com;MIEFIS;(4,16,8,2)
120;Michaelina;Francyne;Michaelina.Francyne@gmail.com;LCC;(0,18,11,4,1,8)
700;Lyssa;Hachmin;Lyssa.Hachmin@gmail.com;LCC;(8,4,17)
324;Ottilie;Riordan;Ottilie.Riordan@gmail.com;MIEI;(13,10,7,10,3)
779;Cristabel;Hebner;Cristabel.Hebner@gmail.com;MIEI;(7,10,17,16,15)
233;Maye;Aaberg;Maye.Aaberg@gmail.com;MIEFIS;(14,16,18)
386;Consuela;Virgin;Consuela.Virgin@gmail.com;LCC;(3,19,11,6)
301;Kristina;Zitvaa;Kristina.Zitvaa@gmail.com;LCC;(12)
599;Dagmar;Mendez;Dagmar.Mendez@gmail.com;MIEI;(4,19,10,6,1)
225;Ardeen;Muriel;Ardeen.Muriel@gmail.com;MIEI;(13,15,10,0)
222;Joelly;Codding;Joelly.Codding@gmail.com;MIEFIS;(8,2,10,7,11)
949;Viviene;Dituri;Viviene.Dituri@gmail.com;MIEFIS;(19)
644;Shandie;Terencio;Shandie.Terencio@gmail.com;MIEFIS;(5,7,12,14,3)
468;Leeanne;Chaing;Leeanne.Chaing@gmail.com;MIEFIS;(6,0)
323;Corly;Abernon;Corly.Abernon@gmail.com;MIEI;(4,2,10)
245;Elbertina;Ahab;Elbertina.Ahab@gmail.com;LCC;(2)
813;Livvyy;Pattin;Livvyy.Pattin@gmail.com;MIEI;(8)
447;Britni;Helve;Britni.Helve@gmail.com;MIEFIS;(6,5,19,3)
557;Chloris;Zina;Chloris.Zina@gmail.com;LCC;(5)
458;Shandie;Secrest;Shandie.Secrest@gmail.com;LCC;(19,10,16,8,9)
795;Helsa;Janith;Helsa.Janith@gmail.com;LCC;(15,18,2,3)
368;Fanchon;Ricki;Fanchon.Ricki@gmail.com;MIEI;(1,8,19,4,7,3)
692;Sissy;Albertine;Sissy.Albertine@gmail.com;LCC;(14,13,17,10,19)
391;Zia;Hamil;Zia.Hamil@gmail.com;LCC;(10,16,8)
494;Roslyn;Delacourt;Roslyn.Delacourt@gmail.com;LCC;(19)
992;Alie;Sothena;Alie.Sothena@gmail.com;MIEFIS;(11,0,10)
517;Joelly;Ammann;Joelly.Ammann@gmail.com;MIEI;(2,10,13)
513;Rori;Lory;Rori.Lory@gmail.com;MIEI;(17,4,11,11,2,11)
642;Ottilie;Rooney;Ottilie.Rooney@gmail.com;MIEI;(9,4,17,9,18)
658;Jemie;Erb;Jemie.Erb@gmail.com;LCC;(13,10)
442;Wendi;Bertold;Wendi.Bertold@gmail.com;LCC;(18,0,14,6)
537;Stevana;Hortensia;Stevana.Hortensia@gmail.com;LCC;(0,3)
296;Valeda;Agle;Valeda.Agle@gmail.com;LCC;(18,18,9)
261;Lily;Naor;Lily.Naor@gmail.com;MIEFIS;(3,18)
784;Dale;Belldas;Dale.Belldas@gmail.com;LCC;(5,11,3,9)
215;Vevay;Prouty;Vevay.Prouty@gmail.com;MIEI;(18,0,5,18,8,19)
737;Joleen;Tayib;Joleen.Tayib@gmail.com;LCC;(5,15,19,7)
980;Eugine;Masao;Eugine.Masao@gmail.com;LCC;(15)
622;Kimberley;Anyah;Kimberley.Anyah@gmail.com;LCC;(19)
580;June;Peti;June.Peti@gmail.com;MIEFIS;(13,5,2,15)
462;Henriette;Kannry;Henriette.Kannry@gmail.com;LCC;(10,1,17,12)
604;Elise;Gordon;Elise.Gordon@gmail.com;MIEFIS;(1,2,5,11,3)
745;Constance;Lattie;Constance.Lattie@gmail.com;MIEI;(15,6,19)
487;Heida;Robertson;Heida.Robertson@gmail.com;MIEFIS;(0,13)
861;Micheline;Francene;Micheline.Francene@gmail.com;LCC;(14,17,3,19)
921;Romona;Clywd;Romona.Clywd@gmail.com;MIEI;(5)
245;Reeba;Fadiman;Reeba.Fadiman@gmail.com;MIEFIS;(8,1,1)
417;Charmaine;Lewes;Charmaine.Lewes@gmail.com;LCC;(16,1,1)
867;Nanete;Lindemann;Nanete.Lindemann@gmail.com;LCC;(18,13,7,11,5)
162;Andree;Harl;Andree.Harl@gmail.com;LCC;(19)
189;Janeczka;Craggie;Janeczka.Craggie@gmail.com;LCC;(9,16,14,15)
365;Phedra;Wu;Phedra.Wu@gmail.com;MIEI;(7,8,11,10)
366;Paule;Sawtelle;Paule.Sawtelle@gmail.com;MIEI;(1,3,3)
278;Blinni;Harned;Blinni.Harned@gmail.com;LCC;(18)
231;Daune;Wolfgram;Daune.Wolfgram@gmail.com;MIEFIS;(4,6)
982;Cherilyn;Chapland;Cherilyn.Chapland@gmail.com;LCC;(7,2,3,6)
815;Georgetta;Vins;Georgetta.Vins@gmail.com;LCC;(0,14,17)
149;Rosene;Gaynor;Rosene.Gaynor@gmail.com;MIEI;(14,8,12)
594;Britni;Iphlgenia;Britni.Iphlgenia@gmail.com;LCC;(8,17,18,9,18)
963;Donetta;Rad;Donetta.Rad@gmail.com;LCC;(10,3)
616;Konstance;Moseley;Konstance.Moseley@gmail.com;MIEFIS;(4)
516;Tamqrah;Publia;Tamqrah.Publia@gmail.com;MIEI;(11,16,0,13)
370;Caryl;Kress;Caryl.Kress@gmail.com;MIEI;(16,7,13,6,15)
287;Janenna;Eben;Janenna.Eben@gmail.com;MIEI;(0,6,19,11,12)
506;Beverley;Tristram;Beverley.Tristram@gmail.com;MIEFIS;(17,19,15,12)
963;Verla;Dorcy;Verla.Dorcy@gmail.com;MIEFIS;(13,2)
906;Lolita;Corabella;Lolita.Corabella@gmail.com;MIEFIS;(12,19,11,3,5,1)
859;Kylynn;Truc;Kylynn.Truc@gmail.com;MIEFIS;(18,18)
819;Alleen;Glovsky;Alleen.Glovsky@gmail.com;MIEFIS;(3,15,5)
297;Lisette;Tacye;Lisette.Tacye@gmail.com;MIEFIS;(7,9,12,5,14)
589;Jenda;Flyn;Jenda.Flyn@gmail.com;MIEFIS;(17,6,16)
933;Ayn;Ahab;Ayn.Ahab@gmail.com;LCC;(3,19,15,7)
844;Willetta;Dunkin;Willetta.Dunkin@gmail.com;MIEI;(9,15)
548;Dede;Obed;Dede.Obed@gmail.com;MIEI;(0)
815;Lorie;Genna;Lorie.Genna@gmail.com;LCC;(18,0,0,14)
291;Dotty;Dearborn;Dotty.Dearborn@gmail.com;MIEFIS;(12,6)
528;Georgina;Ramona;Georgina.Ramona@gmail.com;MIEI;(12,5,11,3,13,5)
936;Krystle;Alcott;Krystle.Alcott@gmail.com;LCC;(15,0,3,10)
681;Di;Trinetta;Di.Trinetta@gmail.com;LCC;(5,16,1)
825;Renie;Simmonds;Renie.Simmonds@gmail.com;LCC;(5,10,15,3)
960;Arlena;Fadiman;Arlena.Fadiman@gmail.com;MIEFIS;(1,6,11)
850;Maurene;Darian;Maurene.Darian@gmail.com;LCC;(13,17,0)
378;Carly;Brunell;Carly.Brunell@gmail.com;LCC;(15,16,10,16)
243;Theodora;Behre;Theodora.Behre@gmail.com;LCC;(13,19,15)
893;Christian;Doig;Christian.Doig@gmail.com;LCC;(6,15,16,6,2,0)
825;Ernesta;Cookie;Ernesta.Cookie@gmail.com;LCC;(11)
821;Vivia;Felecia;Vivia.Felecia@gmail.com;MIEI;(11,4,4,8,12)
199;Clementine;Kare;Clementine.Kare@gmail.com;MIEFIS;(11,14,3)
484;Jeanna;Fitzsimmons;Jeanna.Fitzsimmons@gmail.com;MIEFIS;(10,17,17,8,4,10)
600;Consuela;Noam;Consuela.Noam@gmail.com;MIEI;(19,14,0,11,13)
808;Laurene;Carey;Laurene.Carey@gmail.com;MIEFIS;(5,15)
941;Harmonia;Eliathas;Harmonia.Eliathas@gmail.com;LCC;(14,17)
897;Hayley;Bartlett;Hayley.Bartlett@gmail.com;MIEI;(6,3)
449;Shandie;Orelee;Shandie.Orelee@gmail.com;LCC;(10)
396;Sheelagh;Lattie;Sheelagh.Lattie@gmail.com;MIEI;(1,11,2,5,6,13)
317;Myrtice;Aida;Myrtice.Aida@gmail.com;LCC;(16)
338;Halette;Vittoria;Halette.Vittoria@gmail.com;MIEFIS;(9,9)
138;Carilyn;Rona;Carilyn.Rona@gmail.com;MIEI;(14,16,12)
543;Hannis;Uird;Hannis.Uird@gmail.com;MIEI;(13,13,11,14)
252;Kelly;Frodi;Kelly.Frodi@gmail.com;LCC;(15,8,6,17,15)
350;Suzette;Neva;Suzette.Neva@gmail.com;LCC;(12,8)
859;Esmeralda;Norrie;Esmeralda.Norrie@gmail.com;LCC;(7,18,14,0)
782;Merrie;Tillford;Merrie.Tillford@gmail.com;LCC;(6,9,18,16,19,2)
390;Flory;Klotz;Flory.Klotz@gmail.com;MIEI;(4)
550;Kamilah;Constancy;Kamilah.Constancy@gmail.com;LCC;(1,18)
923;Alia;Thornburg;Alia.Thornburg@gmail.com;MIEI;(3,0)
682;Alameda;Gordon;Alameda.Gordon@gmail.com;MIEFIS;(9,1,3)
395;Bibby;Ellerey;Bibby.Ellerey@gmail.com;MIEFIS;(5,16,5,15,6,14)
865;Alejandra;Gordon;Alejandra.Gordon@gmail.com;MIEFIS;(8,2,0,5)
407;Mellicent;Oster;Mellicent.Oster@gmail.com;MIEFIS;(0,11,5,1,0,7)
408;Norine;Bluh;Norine.Bluh@gmail.com;MIEFIS;(3,13,13,14,7,11)
496;Kellen;Callista;Kellen.Callista@gmail.com;LCC;(12,5)
951;Cherrita;Tillford;Cherrita.Tillford@gmail.com;MIEI;(4)
846;Georgina;Sholley;Georgina.Sholley@gmail.com;LCC;(11,4,9,1)
458;Debee;Tamar;Debee.Tamar@gmail.com;MIEI;(18)
647;Myriam;Honoria;Myriam.Honoria@gmail.com;LCC;(12)
104;Cristine;Lilybelle;Cristine.Lilybelle@gmail.com;MIEFIS;(2,15,18,4,5)
553;Jaime;Lareena;Jaime.Lareena@gmail.com;MIEFIS;(5)
104;Amelia;Loeb;Amelia.Loeb@gmail.com;MIEI;(0,10,13)
175;Tabbatha;Stelle;Tabbatha.Stelle@gmail.com;LCC;(2)
543;Ardenia;Jary;Ardenia.Jary@gmail.com;LCC;(13,12)
542;Deirdre;Thad;Deirdre.Thad@gmail.com;LCC;(14,15,6,5,3)
227;Karolina;Sheng;Karolina.Sheng@gmail.com;LCC;(11,6,12,8,10)
634;Belinda;Stefa;Belinda.Stefa@gmail.com;MIEI;(10,16,4)
836;Patricia;Mike;Patricia.Mike@gmail.com;MIEI;(9,10,12,5)
734;Diena;Lumbard;Diena.Lumbard@gmail.com;MIEFIS;(5,14)
506;Sadie;Quinn;Sadie.Quinn@gmail.com;LCC;(5,14)
635;Vevay;Koziara;Vevay.Koziara@gmail.com;LCC;(18,8,18,17)
162;Annora;Phaidra;Annora.Phaidra@gmail.com;LCC;(11)
194;Veda;Jorgan;Veda.Jorgan@gmail.com;MIEI;(12)
867;Adelle;Philipp;Adelle.Philipp@gmail.com;LCC;(11,4,8)
978;Daune;Alarise;Daune.Alarise@gmail.com;MIEI;(18,8)
336;Nessie;Buttaro;Nessie.Buttaro@gmail.com;MIEI;(14,12,15)
674;Cissiee;Alcott;Cissiee.Alcott@gmail.com;MIEFIS;(15,5)
529;Bibby;Autrey;Bibby.Autrey@gmail.com;MIEFIS;(6)
195;Nollie;Tremayne;Nollie.Tremayne@gmail.com;MIEI;(16,18,1)
527;Alleen;Horan;Alleen.Horan@gmail.com;MIEI;(15,3,12,6,6,7)
135;Ada;Urias;Ada.Urias@gmail.com;MIEFIS;(14,16)
915;Marguerite;Rillings;Marguerite.Rillings@gmail.com;MIEI;(14,19,15,18,11)
796;Fina;Goerke;Fina.Goerke@gmail.com;LCC;(2)
393;Mamie;Auberbach;Mamie.Auberbach@gmail.com;LCC;(13)
329;Dione;Toor;Dione.Toor@gmail.com;MIEI;(19)
406;Modestia;Means;Modestia.Means@gmail.com;MIEFIS;(4,11)
918;Clo;Gilbertson;Clo.Gilbertson@gmail.com;MIEFIS;(17)
654;Elena;Ophelia;Elena.Ophelia@gmail.com;LCC;(15)
443;Shaine;Dawkins;Shaine.Dawkins@gmail.com;MIEFIS;(15)
182;Eolanda;Buttaro;Eolanda.Buttaro@gmail.com;LCC;(17,0,12,8)
876;Angela;Buffum;Angela.Buffum@gmail.com;MIEFIS;(3,11,9)
936;Dorice;Sprage;Dorice.Sprage@gmail.com;LCC;(5)
469;Tera;Quent;Tera.Quent@gmail.com;MIEI;(9,19,7,16)
193;Eolanda;Colbert;Eolanda.Colbert@gmail.com;MIEFIS;(2,3,6,13,11)
433;Constance;Burnside;Constance.Burnside@gmail.com;LCC;(6,11,2,13,1)
604;Josephine;Lymann;Josephine.Lymann@gmail.com;LCC;(6,6,15,11,0)
798;Ardenia;Norrie;Ardenia.Norrie@gmail.com;MIEI;(19,9,10)
977;Tabbatha;Wind;Tabbatha.Wind@gmail.com;LCC;(1,12,14,1,15)
182;Willetta;Shields;Willetta.Shields@gmail.com;MIEFIS;(16,12,15,4)
683;Ernesta;Bultman;Ernesta.Bultman@gmail.com;MIEFIS;(4,18,18,0,16,9)
327;Taffy;Romelda;Taffy.Romelda@gmail.com;MIEFIS;(19,18)
820;Orelia;Shirberg;Orelia.Shirberg@gmail.com;MIEI;(1,0,13,18,10,13)
420;Marcy;Birdella;Marcy.Birdella@gmail.com;LCC;(15,14,13,2,17)
308;Priscilla;Pauly;Priscilla.Pauly@gmail.com;LCC;(13,15)
691;Mignon;Vins;Mignon.Vins@gmail.com;LCC;(16,3,17)
376;Merrie;Thornburg;Merrie.Thornburg@gmail.com;LCC;(4,8)
615;Rochette;Durante;Rochette.Durante@gmail.com;LCC;(2,9,11,19,12)
731;Heddie;Nikaniki;Heddie.Nikaniki@gmail.com;MIEFIS;(15,18,17,3,5,11)
317;Dominga;Idelia;Dominga.Idelia@gmail.com;LCC;(13,1,18)
146;Vinita;Lalitta;Vinita.Lalitta@gmail.com;LCC;(19)
419;Shaine;Cimbura;Shaine.Cimbura@gmail.com;MIEFIS;(11,13,7,17)
200;Lenna;Sidonius;Lenna.Sidonius@gmail.com;MIEFIS;(7,6,4,14,9)
868;Petronia;Ferrell;Petronia.Ferrell@gmail.com;LCC;(6)
439;Kaia;Rustice;Kaia.Rustice@gmail.com;MIEFIS;(18,15,4,13,14,14)
683;Rhea;Nedrud;Rhea.Nedrud@gmail.com;MIEI;(10,12,16,3,15,16)
851;Shauna;Kinnard;Shauna.Kinnard@gmail.com;MIEFIS;(15,2,8,8,15,1)
287;Ronna;Ader;Ronna.Ader@gmail.com;MIEI;(8,17)
287;Leona;Wooster;Leona.Wooster@gmail.com;LCC;(9,3,12,17)
458;Verla;Erlandson;Verla.Erlandson@gmail.com;MIEI;(2)
382;Reeba;Elvyn;Reeba.Elvyn@gmail.com;LCC;(6,10,4)
473;Clementine;Ralfston;Clementine.Ralfston@gmail.com;MIEFIS;(9,0,7)
866;Marcy;Dorcy;Marcy.Dorcy@gmail.com;MIEFIS;(5,18,13,19,1,11)
723;Alia;Morgun;Alia.Morgun@gmail.com;MIEI;(15,16,16)
269;Netty;Donoghue;Netty.Donoghue@gmail.com;MIEI;(13)
668;Cathyleen;Brittani;Cathyleen.Brittani@gmail.com;MIEI;(12,19,14)
919;Kenna;Bonilla;Kenna.Bonilla@gmail.com;MIEFIS;(12,13,8,3,3)
446;Sharlene;Ovid;Sharlene.Ovid@gmail.com;MIEI;(3,15,4,16)
546;Raf;McClimans;Raf.McClimans@gmail.com;MIEFIS;(8,2,13,7,11)
468;Hannis;Monaco;Hannis.Monaco@gmail.com;LCC;(2,1)
663;Tami;Vary;Tami.Vary@gmail.com;MIEFIS;(8,11,18,5)
230;Anallese;Natica;Anallese.Natica@gmail.com;MIEFIS;(13,13,0,3)
131;Annaliese;Raama;Annaliese.Raama@gmail.com;MIEFIS;(5,7,0,8,8,8)
788;Hope;Santoro;Hope.Santoro@gmail.com;MIEFIS;(18,1,3,9)
154;Gwyneth;Joli;Gwyneth.Joli@gmail.com;MIEI;(4,15)
704;Daphne;Garlinda;Daphne.Garlinda@gmail.com;LCC;(14)
919;Frank;Elisha;Frank.Elisha@gmail.com;MIEI;(2,12)
532;Tatiania;Anyah;Tatiania.Anyah@gmail.com;MIEI;(8,9,13,3,4)
294;Marita;Bivins;Marita.Bivins@gmail.com;LCC;(15,5)
955;Thalia;Edison;Thalia.Edison@gmail.com;MIEFIS;(4,14)
570;Bobinette;Trinetta;Bobinette.Trinetta@gmail.com;MIEFIS;(15,12,7,15,11,8)
787;Nicoli;Stilwell;Nicoli.Stilwell@gmail.com;MIEI;(11,17)
879;Dolli;Hirsch;Dolli.Hirsch@gmail.com;MIEI;(17,15,12,6)
278;Viviene;Geffner;Viviene.Geffner@gmail.com;MIEFIS;(12,11,0,6,14,19)
796;Merry;Ashely;Merry.Ashely@gmail.com;MIEFIS;(1,4)
324;Diena;Stevy;Diena.Stevy@gmail.com;LCC;(6,5,14,14,7,18)
984;Ermengarde;Constancy;Ermengarde.Constancy@gmail.com;MIEFIS;(1,13,18,2,15,9)
562;Eadie;Juliet;Eadie.Juliet@gmail.com;MIEFIS;(8,2,13,10)
631;Teriann;Iaverne;Teriann.Iaverne@gmail.com;LCC;(6,15,6,13,10)
815;Laurene;Dash;Laurene.Dash@gmail.com;MIEI;(4,12,19,14)
490;Patricia;Hanleigh;Patricia.Hanleigh@gmail.com;LCC;(15,1,5)
487;Ann-Marie;Virgin;Ann-Marie.Virgin@gmail.com;MIEI;(4,5,15)
140;Fredericka;Yam;Fredericka.Yam@gmail.com;MIEFIS;(7,1,10,6,18,3)
795;Celene;Fairweather;Celene.Fairweather@gmail.com;MIEI;(18,18,5,17,18,2)
898;Allis;Eugenia;Allis.Eugenia@gmail.com;MIEFIS;(7,6,4,1,8,13)
349;Siana;Plato;Siana.Plato@gmail.com;LCC;(12,10,15,0,19,18)
111;Moyna;Solitta;Moyna.Solitta@gmail.com;LCC;(15,11,4,4,19)
311;Lanna;Kress;Lanna.Kress@gmail.com;LCC;(9,7,4,12)
223;Roz;Ochs;Roz.Ochs@gmail.com;MIEI;(10,13,17,19)
476;Hermione;Liva;Hermione.Liva@gmail.com;LCC;(15,17,6)
920;Monika;Tyson;Monika.Tyson@gmail.com;LCC;(14,3,12,4,7)
744;Pearline;Blase;Pearline.Blase@gmail.com;LCC;(0)
437;Queenie;Pierette;Queenie.Pierette@gmail.com;MIEI;(15,2,3,7)
959;Lynea;Bach;Lynea.Bach@gmail.com;MIEFIS;(19,12,6,1,2)
192;Jemie;Serilda;Jemie.Serilda@gmail.com;LCC;(16)
905;Edee;Sothena;Edee.Sothena@gmail.com;MIEFIS;(0,6,9,18,19)
228;Maryellen;Stav;Maryellen.Stav@gmail.com;MIEI;(6,9)
673;Roslyn;Bord;Roslyn.Bord@gmail.com;MIEI;(15,10,11,19,19)
786;Ofilia;Wu;Ofilia.Wu@gmail.com;MIEFIS;(12,15,12,10,18)
123;Wilma;Cookie;Wilma.Cookie@gmail.com;MIEI;(13,7,16,9)
825;Amara;Ball;Amara.Ball@gmail.com;MIEI;(14,18)
217;Rayna;Orlene;Rayna.Orlene@gmail.com;MIEI;(13,14)
102;Philis;Cavan;Philis.Cavan@gmail.com;MIEI;(19)
652;Maye;Colp;Maye.Colp@gmail.com;MIEI;(14,7,7)
703;Sheelagh;Zetta;Sheelagh.Zetta@gmail.com;MIEI;(17,7,14,9,1,9)
849;Alexine;Pip;Alexine.Pip@gmail.com;MIEI;(10,6,7,18,1,3)
658;Marsiella;Chauncey;Marsiella.Chauncey@gmail.com;LCC;(4,5,18)
524;Cissiee;Pillsbury;Cissiee.Pillsbury@gmail.com;LCC;(10,9,9,16)
