numero;notas*avg;primeiroNome*avg;ultimoNome;email;curso
167;(18,15,12,11,6,15);Roseline;Munn;Roseline.Munn@yopmail.com;LCC
177;(12,16);Ottilie;Tamar;Ottilie.Tamar@yopmail.com;LCC
267;(10);Shaine;Rooney;Shaine.Rooney@yopmail.com;MIEFIS
285;(11,9,17);Joelly;Belldas;Joelly.Belldas@yopmail.com;LCC
566;(17,9,3,8,16);Dede;Winthorpe;Dede.Winthorpe@yopmail.com;MIEI
593;(3,5,11,8);Aurore;Kenwood;Aurore.Kenwood@yopmail.com;MIEFIS
919;(19,8,14);Marinna;Carlson;Marinna.Carlson@yopmail.com;MIEI
625;(8,11);Mary;Ball;Mary.Ball@yopmail.com;MIEI
397;(12,13,14,5,13,7);Marguerite;Wyn;Marguerite.Wyn@yopmail.com;MIEFIS
339;(16,18,11,10,3,19);Dulcinea;Torray;Dulcinea.Torray@yopmail.com;LCC
650;(13,19);Frances;Ehrman;Frances.Ehrman@yopmail.com;MIEFIS
105;(8,4,0,7,19);Jeanna;Dearborn;Jeanna.Dearborn@yopmail.com;MIEI
322;(16,2,14,8);Anallese;Chobot;Anallese.Chobot@yopmail.com;LCC
685;(11,13,5,17,14,11);Joceline;Delacourt;Joceline.Delacourt@yopmail.com;LCC
625;(13,17,18,18,16);Jolyn;Thema;Jolyn.Thema@yopmail.com;MIEFIS
320;(0,10,4,9,3);Jaime;Lay;Jaime.Lay@yopmail.com;LCC
877;(5);Carol-Jean;Socha;Carol-Jean.Socha@yopmail.com;MIEI
130;(12,12);Beth;Kirbee;Beth.Kirbee@yopmail.com;MIEFIS
338;(4,7,9);Lizzie;Riordan;Lizzie.Riordan@yopmail.com;LCC
322;(8,3,9,12);Anallese;Yusuk;Anallese.Yusuk@yopmail.com;MIEFIS
288;(19,0,14,16,14);Corly;Gower;Corly.Gower@yopmail.com;MIEFIS
760;(12,3,15,7,17);Mara;Wittie;Mara.Wittie@yopmail.com;LCC
394;(10,0,11,3,12,8);Britni;Tybald;Britni.Tybald@yopmail.com;MIEI
695;(17,1,14,4,1);Brana;McAdams;Brana.McAdams@yopmail.com;MIEI
742;(1,19,11,5);Chastity;Tacye;Chastity.Tacye@yopmail.com;LCC
167;(10,0,5,5,17,5);Margalo;Braun;Margalo.Braun@yopmail.com;MIEFIS
391;(10,8,7);Tori;Toni;Tori.Toni@yopmail.com;MIEI
287;(18,0,18,4);Frances;Delacourt;Frances.Delacourt@yopmail.com;MIEI
967;(15,4,5);Feliza;Wandie;Feliza.Wandie@yopmail.com;LCC
250;(11,9,5);Dorice;Swigart;Dorice.Swigart@yopmail.com;MIEI
161;(13,12,10,8,12,13);Mara;Charity;Mara.Charity@yopmail.com;MIEI
303;(18,3,19,18,2,12);Sean;Vacuva;Sean.Vacuva@yopmail.com;LCC
348;(15,4,5);Ermengarde;Joeann;Ermengarde.Joeann@yopmail.com;MIEFIS
174;(18,10);Sybille;Martguerita;Sybille.Martguerita@yopmail.com;MIEI
203;(0,3);Marjie;Tarrant;Marjie.Tarrant@yopmail.com;LCC
704;(18);Jillayne;Abernon;Jillayne.Abernon@yopmail.com;MIEFIS
796;(14,18,8);Mamie;Redmond;Mamie.Redmond@yopmail.com;LCC
872;(12,2,15,1,0,2);Rebeca;Fennessy;Rebeca.Fennessy@yopmail.com;LCC
931;(11,13,7,3,14,13);Fanchon;Travax;Fanchon.Travax@yopmail.com;MIEFIS
218;(17,13,1,13,6);Correy;Erskine;Correy.Erskine@yopmail.com;MIEI
858;(6,3,5,9);Chastity;Pandolfi;Chastity.Pandolfi@yopmail.com;MIEI
229;(2,16);Maridel;Travax;Maridel.Travax@yopmail.com;LCC
289;(10,16);Dianemarie;Wind;Dianemarie.Wind@yopmail.com;LCC
468;(16,19,10,12);Maye;Moina;Maye.Moina@yopmail.com;MIEI
579;(11,10,11,8,10,17);Gretal;Adore;Gretal.Adore@yopmail.com;MIEFIS
508;(14);Clarice;Gemini;Clarice.Gemini@yopmail.com;MIEFIS
132;(0,9,15);Konstance;Curren;Konstance.Curren@yopmail.com;MIEI
168;(7,3,10,19);Sharai;Campball;Sharai.Campball@yopmail.com;MIEFIS
972;(6,12);Marjie;Lorenz;Marjie.Lorenz@yopmail.com;MIEFIS
893;(2,17);Renae;Howlyn;Renae.Howlyn@yopmail.com;LCC
469;(0);Tabbatha;Gino;Tabbatha.Gino@yopmail.com;MIEI
905;(8,16);Jean;Peonir;Jean.Peonir@yopmail.com;MIEFIS
664;(19,9,4,2,6);Cam;Gower;Cam.Gower@yopmail.com;LCC
277;(5);Marcelline;Kinnard;Marcelline.Kinnard@yopmail.com;MIEI
450;(12,13,13,8,11,2);Ruthe;Boehike;Ruthe.Boehike@yopmail.com;MIEFIS
940;(16);Camile;Suk;Camile.Suk@yopmail.com;MIEI
521;(3,8,16,2,12,16);Nikki;Dawkins;Nikki.Dawkins@yopmail.com;MIEI
374;(16);Lucille;Newell;Lucille.Newell@yopmail.com;LCC
728;(10,16,18,1,18,11);Chickie;Maisey;Chickie.Maisey@yopmail.com;MIEFIS
459;(11,18,10,4);Wileen;Abram;Wileen.Abram@yopmail.com;LCC
267;(15,13,3,10,3,12);Judy;Gahl;Judy.Gahl@yopmail.com;MIEFIS
204;(17,13,15,6,12);Selia;Sancho;Selia.Sancho@yopmail.com;LCC
707;(5,8,2,0);Trudie;Ciro;Trudie.Ciro@yopmail.com;MIEFIS
532;(18);Riannon;Lamoree;Riannon.Lamoree@yopmail.com;MIEI
133;(17,16,17,11,4);Lonnie;Wu;Lonnie.Wu@yopmail.com;LCC
224;(12,2,5);Feliza;Arathorn;Feliza.Arathorn@yopmail.com;LCC
684;(13,19,1);Shaine;Knowling;Shaine.Knowling@yopmail.com;LCC
708;(16,1,0);Jeanna;Nicoline;Jeanna.Nicoline@yopmail.com;LCC
962;(6,18);Lulita;Therine;Lulita.Therine@yopmail.com;LCC
210;(10,13,5,10,17,16);Joleen;Croix;Joleen.Croix@yopmail.com;MIEFIS
993;(6,11,18);Nadine;Weitman;Nadine.Weitman@yopmail.com;MIEI
369;(14);Leanna;Tamsky;Leanna.Tamsky@yopmail.com;LCC
575;(2,7,17,14,9,8);Bee;Ranjiv;Bee.Ranjiv@yopmail.com;MIEFIS
954;(18,16,2,10);Antonietta;Darian;Antonietta.Darian@yopmail.com;LCC
675;(0,6,14,7);Gabi;Delacourt;Gabi.Delacourt@yopmail.com;MIEFIS
850;(7,3,8);Esmeralda;Hirsch;Esmeralda.Hirsch@yopmail.com;MIEI
445;(14,18);Winny;Santoro;Winny.Santoro@yopmail.com;MIEFIS
577;(13);Jenda;Bord;Jenda.Bord@yopmail.com;LCC
771;(3,6,17,0,11);Diena;Keelia;Diena.Keelia@yopmail.com;MIEI
436;(3,7);Jobi;Giff;Jobi.Giff@yopmail.com;LCC
333;(14,13,4,1,19);Babita;Bury;Babita.Bury@yopmail.com;LCC
981;(5);Xylina;Jeanne;Xylina.Jeanne@yopmail.com;MIEI
166;(2);Claresta;Philipp;Claresta.Philipp@yopmail.com;MIEFIS
815;(13,7,12);Gilligan;Alarise;Gilligan.Alarise@yopmail.com;MIEFIS
687;(9,4,11,7);Edith;Levey;Edith.Levey@yopmail.com;MIEFIS
999;(0,9,3,5,0);Karly;Urias;Karly.Urias@yopmail.com;MIEFIS
443;(8,13,15,17,2);Tomasina;Smitt;Tomasina.Smitt@yopmail.com;MIEI
457;(19,0,4,7);Ivett;Leffen;Ivett.Leffen@yopmail.com;MIEI
661;(0,9,17,1,8,8);Kore;Arquit;Kore.Arquit@yopmail.com;MIEI
164;(18);Melodie;Borrell;Melodie.Borrell@yopmail.com;MIEI
496;(15,2);Kassey;Pond;Kassey.Pond@yopmail.com;LCC
320;(9,17,13,2);Lizzie;Martguerita;Lizzie.Martguerita@yopmail.com;LCC
280;(7,5,4,16);Kathi;Dom;Kathi.Dom@yopmail.com;MIEFIS
567;(3,5,11,3,18,6);Inga;Frodi;Inga.Frodi@yopmail.com;LCC
282;(3,11,7,0);Almeta;Ulphia;Almeta.Ulphia@yopmail.com;MIEFIS
638;(5,8,12);Brietta;Mandler;Brietta.Mandler@yopmail.com;LCC
411;(13,10,1);Elie;Grobe;Elie.Grobe@yopmail.com;MIEFIS
915;(7);Elfreda;Granoff;Elfreda.Granoff@yopmail.com;LCC
798;(1,0,6,19,8);Devina;Caitlin;Devina.Caitlin@yopmail.com;MIEI
419;(18,17,18);Pierette;Tamar;Pierette.Tamar@yopmail.com;MIEI
687;(14,0,9,2,13);Rubie;Francene;Rubie.Francene@yopmail.com;LCC
869;(9,9);Brena;Darian;Brena.Darian@yopmail.com;MIEI
698;(0,7,7);Gwenneth;Torray;Gwenneth.Torray@yopmail.com;MIEI
430;(10,19,13,4,18,18);Kalina;Abram;Kalina.Abram@yopmail.com;MIEI
457;(7,9,0,16,0,1);Margette;Read;Margette.Read@yopmail.com;MIEI
282;(6);Marsiella;Kimmie;Marsiella.Kimmie@yopmail.com;LCC
652;(17,13,8,16);Elvira;Saree;Elvira.Saree@yopmail.com;MIEI
130;(4,8,13,14,5,12);Claudina;Randene;Claudina.Randene@yopmail.com;MIEI
621;(0,2,5,18);Corly;Standing;Corly.Standing@yopmail.com;LCC
244;(14,19,18,14,7,15);Nonnah;Duwalt;Nonnah.Duwalt@yopmail.com;MIEI
931;(12);Ardenia;Frodi;Ardenia.Frodi@yopmail.com;MIEI
982;(8,14,18,11,8);Mady;Kiersten;Mady.Kiersten@yopmail.com;LCC
358;(15,14,17,19,11,16);Emylee;Sikorski;Emylee.Sikorski@yopmail.com;MIEI
957;(5,6,8,5,14,2);Riannon;Lorain;Riannon.Lorain@yopmail.com;MIEFIS
110;(16);Reeba;Milson;Reeba.Milson@yopmail.com;MIEI
622;(8,9,13,16,3,18);Mireielle;Madaih;Mireielle.Madaih@yopmail.com;MIEFIS
433;(10);Genovera;Hutchison;Genovera.Hutchison@yopmail.com;MIEFIS
863;(17,10,18);Tarra;Raseda;Tarra.Raseda@yopmail.com;LCC
914;(0,13,15,6);Laurene;Stelle;Laurene.Stelle@yopmail.com;LCC
623;(8);Gloria;Liva;Gloria.Liva@yopmail.com;MIEI
500;(1,0,13,5,5,9);Kaja;Zrike;Kaja.Zrike@yopmail.com;LCC
729;(16,9);Iseabal;Thad;Iseabal.Thad@yopmail.com;MIEI
391;(18,10,15);Kore;Lewes;Kore.Lewes@yopmail.com;LCC
705;(13,14,4,6,2,4);Florie;Bandeen;Florie.Bandeen@yopmail.com;MIEFIS
650;(12,1);Nelle;Sammons;Nelle.Sammons@yopmail.com;LCC
706;(2,1,18,12,8);Raina;Astra;Raina.Astra@yopmail.com;MIEFIS
338;(4,7,19,4,12,3);Georgina;Lenny;Georgina.Lenny@yopmail.com;LCC
110;(10);Selia;Flyn;Selia.Flyn@yopmail.com;MIEFIS
572;(4,11);Alia;Viddah;Alia.Viddah@yopmail.com;MIEI
606;(3,12,12,1,12);Melodie;Anastatius;Melodie.Anastatius@yopmail.com;LCC
139;(2,14);Felice;Rocray;Felice.Rocray@yopmail.com;MIEI
779;(8,7,5,1,4,6);Felice;Saree;Felice.Saree@yopmail.com;MIEFIS
775;(18,2,4,11,1,12);Katuscha;Adrienne;Katuscha.Adrienne@yopmail.com;MIEFIS
971;(8);Ricky;Fosque;Ricky.Fosque@yopmail.com;LCC
395;(2,14,8,2,1);Libbie;Nedrud;Libbie.Nedrud@yopmail.com;MIEFIS
450;(7,0,16);Elvira;Christine;Elvira.Christine@yopmail.com;LCC
530;(15,1,15,2,4);Clo;Melony;Clo.Melony@yopmail.com;MIEFIS
995;(19);Robbi;Michella;Robbi.Michella@yopmail.com;LCC
286;(2,14);Tamqrah;Jehu;Tamqrah.Jehu@yopmail.com;LCC
262;(9,13,10,13,3);Brianna;Sinegold;Brianna.Sinegold@yopmail.com;LCC
878;(12);Oralee;Land;Oralee.Land@yopmail.com;MIEFIS
384;(1,5,12);Dianemarie;Lumbard;Dianemarie.Lumbard@yopmail.com;LCC
687;(17,5,15);Belva;Mauer;Belva.Mauer@yopmail.com;LCC
254;(2,7);Julieta;Klemperer;Julieta.Klemperer@yopmail.com;MIEI
250;(2,4,2,13);Ermengarde;Monaco;Ermengarde.Monaco@yopmail.com;MIEI
962;(14,11);Dominga;Ephrem;Dominga.Ephrem@yopmail.com;LCC
174;(14,9,5,15,4);Leeanne;Juan;Leeanne.Juan@yopmail.com;MIEFIS
266;(16,14);Lynnea;Ioab;Lynnea.Ioab@yopmail.com;LCC
182;(16,6);Hallie;Stacy;Hallie.Stacy@yopmail.com;LCC
944;(2,3,10,8);Ronna;Iaverne;Ronna.Iaverne@yopmail.com;LCC
845;(1,19,7);Dorothy;Israeli;Dorothy.Israeli@yopmail.com;MIEI
609;(0,1,11);Nerta;Francyne;Nerta.Francyne@yopmail.com;MIEFIS
802;(0,2,12,9);Alia;Bigner;Alia.Bigner@yopmail.com;LCC
865;(17,15,8,11,10,4);Odessa;Ventre;Odessa.Ventre@yopmail.com;LCC
135;(13,0);Christy;Myrilla;Christy.Myrilla@yopmail.com;LCC
735;(8,6,7,19,9,4);Verla;Dahlia;Verla.Dahlia@yopmail.com;LCC
564;(0);Cyb;Luhe;Cyb.Luhe@yopmail.com;LCC
855;(2,17,0,3,18);Jan;Niccolo;Jan.Niccolo@yopmail.com;LCC
386;(18);Allis;Earlie;Allis.Earlie@yopmail.com;LCC
483;(2,6,17,11,8,18);Hyacinthe;Bergman;Hyacinthe.Bergman@yopmail.com;LCC
821;(10,11);Farrah;Dichy;Farrah.Dichy@yopmail.com;LCC
838;(2,7,19);Melisent;LaRue;Melisent.LaRue@yopmail.com;MIEI
891;(3,19,7,16);Meriel;Phyllis;Meriel.Phyllis@yopmail.com;LCC
298;(0,2,14,3);Bobbi;Wilona;Bobbi.Wilona@yopmail.com;MIEFIS
684;(12,8,6);Ayn;Letsou;Ayn.Letsou@yopmail.com;MIEI
951;(19,7,15);Doro;Whiffen;Doro.Whiffen@yopmail.com;MIEI
387;(1);Tobe;Candy;Tobe.Candy@yopmail.com;LCC
817;(11,0,4,1,3);Rozele;Lutero;Rozele.Lutero@yopmail.com;LCC
246;(17,19,17,12);Babita;Abbot;Babita.Abbot@yopmail.com;LCC
499;(10,12);Wynne;Tengdin;Wynne.Tengdin@yopmail.com;MIEI
642;(1,18,15,4,3,9);Netty;Manolo;Netty.Manolo@yopmail.com;LCC
206;(10,5);Lory;Emmy;Lory.Emmy@yopmail.com;MIEFIS
917;(2,18,9,7);Dawn;Diogenes;Dawn.Diogenes@yopmail.com;MIEI
988;(10,6,12);Chrystel;Kiyoshi;Chrystel.Kiyoshi@yopmail.com;MIEFIS
327;(18,17,3,11,11);Winny;Aprile;Winny.Aprile@yopmail.com;MIEI
695;(15,7);Tiffie;Ax;Tiffie.Ax@yopmail.com;MIEI
792;(11,17,15);Jessamyn;Ellerey;Jessamyn.Ellerey@yopmail.com;LCC
507;(10);Gaylene;Fiann;Gaylene.Fiann@yopmail.com;MIEI
217;(15,3,1);Miquela;Wolfgram;Miquela.Wolfgram@yopmail.com;LCC
172;(14);Chickie;Kunin;Chickie.Kunin@yopmail.com;MIEI
828;(7,14,10,3);Emilia;Devlen;Emilia.Devlen@yopmail.com;MIEFIS
137;(5,10,8);Blinni;Jorgan;Blinni.Jorgan@yopmail.com;MIEI
821;(5,18,14,4,8);Benita;Rebecka;Benita.Rebecka@yopmail.com;LCC
409;(15);Monika;Thornburg;Monika.Thornburg@yopmail.com;MIEFIS
273;(17,16,19);Aili;Minetta;Aili.Minetta@yopmail.com;MIEI
191;(17,5);Dolli;Behre;Dolli.Behre@yopmail.com;MIEI
932;(11,7,3,4,9);Leontine;Pernick;Leontine.Pernick@yopmail.com;LCC
993;(17);Jean;Gaulin;Jean.Gaulin@yopmail.com;MIEI
867;(14,10,1,12);Louella;Chabot;Louella.Chabot@yopmail.com;LCC
829;(18,15,1,9,16,19);Marcy;Stacy;Marcy.Stacy@yopmail.com;MIEI
845;(7,16,2,2,6,16);Louella;Huggins;Louella.Huggins@yopmail.com;MIEI
580;(0,9);Eolanda;Diogenes;Eolanda.Diogenes@yopmail.com;MIEFIS
318;(10,14,2,7,16);Elise;Bronk;Elise.Bronk@yopmail.com;LCC
258;(13);Merci;Randene;Merci.Randene@yopmail.com;MIEI
642;(13,14,6,2,15);Cyndie;Lubin;Cyndie.Lubin@yopmail.com;MIEI
529;(6,4,8,16,19,19);Sibella;Vilma;Sibella.Vilma@yopmail.com;MIEI
855;(11,1);Oralee;Ferrell;Oralee.Ferrell@yopmail.com;MIEFIS
397;(17,14,2);Alexine;Stacy;Alexine.Stacy@yopmail.com;MIEI
656;(1,0);Winny;Lail;Winny.Lail@yopmail.com;LCC
803;(1);Tilly;Vittoria;Tilly.Vittoria@yopmail.com;LCC
571;(13,18,6,8,9,0);Edee;Alisia;Edee.Alisia@yopmail.com;LCC
537;(17);Emma;Edvard;Emma.Edvard@yopmail.com;MIEI
817;(3,3,8,14);Celestyna;Reidar;Celestyna.Reidar@yopmail.com;MIEI
767;(17,2,10,0);Raquela;Autrey;Raquela.Autrey@yopmail.com;LCC
857;(16);Lila;Parette;Lila.Parette@yopmail.com;MIEI
248;(3,17);Vonny;Angelis;Vonny.Angelis@yopmail.com;MIEFIS
700;(18,5,10,3,17);Myriam;Agle;Myriam.Agle@yopmail.com;MIEFIS
234;(6,3,14,6);Emylee;Gaspard;Emylee.Gaspard@yopmail.com;MIEFIS
803;(7);Britni;Koehler;Britni.Koehler@yopmail.com;MIEI
319;(16,7,15,12,13,2);Joeann;Burkle;Joeann.Burkle@yopmail.com;MIEI
884;(9,19,14,13,10);Daphne;Chandler;Daphne.Chandler@yopmail.com;MIEI
591;(2,6,3,8,15,9);Dyann;Karl;Dyann.Karl@yopmail.com;LCC
536;(11,1,10);Helsa;Harned;Helsa.Harned@yopmail.com;LCC
987;(17,0,9,11,16,0);Therine;Kristi;Therine.Kristi@yopmail.com;MIEFIS
635;(5,1,7);Katharina;Berriman;Katharina.Berriman@yopmail.com;MIEFIS
230;(10,9,1,11);Ada;Natalia;Ada.Natalia@yopmail.com;MIEFIS
860;(4);Asia;Mich;Asia.Mich@yopmail.com;LCC
190;(2,2,15,8);Rosanne;Nicoline;Rosanne.Nicoline@yopmail.com;MIEI
768;(11,12,2,9);Sindee;Gordon;Sindee.Gordon@yopmail.com;MIEI
217;(14,14,5,9,2);Janeczka;Bibi;Janeczka.Bibi@yopmail.com;MIEFIS
456;(2,6);Elena;Winthorpe;Elena.Winthorpe@yopmail.com;MIEFIS
118;(11);Kara-Lynn;Cimbura;Kara-Lynn.Cimbura@yopmail.com;MIEFIS
759;(14,19,2,1);Brena;Buttaro;Brena.Buttaro@yopmail.com;MIEFIS
630;(16,6);Ulrike;Ranjiv;Ulrike.Ranjiv@yopmail.com;MIEFIS
255;(5,4,0,12);Glenda;Bandeen;Glenda.Bandeen@yopmail.com;MIEI
846;(17,17,17,11,1,5);Tina;Virgin;Tina.Virgin@yopmail.com;LCC
739;(0,13,1,2,2,17);Roseline;Phaidra;Roseline.Phaidra@yopmail.com;MIEFIS
573;(6,1,18);Danny;Mauer;Danny.Mauer@yopmail.com;MIEI
908;(3,4,6,5,14);Sibella;Phaidra;Sibella.Phaidra@yopmail.com;MIEFIS
888;(15);Marsiella;Colbert;Marsiella.Colbert@yopmail.com;LCC
867;(11,16,8,6);Jean;Schroth;Jean.Schroth@yopmail.com;LCC
454;(13,2,3,9,18,14);Claudina;Lareena;Claudina.Lareena@yopmail.com;LCC
803;(5,5);Linzy;Maiah;Linzy.Maiah@yopmail.com;MIEFIS
549;(8,13,19,15,11,6);Tracey;Sawtelle;Tracey.Sawtelle@yopmail.com;LCC
919;(17,14,9);Cathyleen;Amadas;Cathyleen.Amadas@yopmail.com;MIEI
915;(5,0,10,8,7);Selia;Socha;Selia.Socha@yopmail.com;MIEI
672;(8,17);Suzette;Kellby;Suzette.Kellby@yopmail.com;LCC
986;(17,16,4,14,11,11);Clo;Schalles;Clo.Schalles@yopmail.com;LCC
493;(15,7);Fina;Ietta;Fina.Ietta@yopmail.com;LCC
