numero;PrimeiroNome;UltimoNome;Curso;notas*avg
189;Lanna;Zaslow;MIEI;(16,2,9,15,16,1)
534;Deirdre;Kosey;LCC;(14,1,1,9,8,7)
433;Leontine;Agle;MIEFIS;(1,6,0,12)
467;Louella;Jefferey;MIEFIS;(8,1,8,6)
251;Madalyn;Federica;LCC;(18,3,5)
886;Gerrie;Sigfrid;LCC;(4,0,19,14)
339;Nickie;Halla;MIEI;(9,18,15,17,8,4)
913;Wanda;Pearse;LCC;(14,0,9,19,8,15)
707;Jinny;Meter;LCC;(19,7,10,8,6)
507;Marcelline;Grobe;MIEI;(12)
627;Rani;Kylander;MIEFIS;(5,10,12)
663;Malina;Talia;MIEFIS;(7,7,7)
394;Allyce;Lea;MIEI;(5,0)
748;Linzy;Hutchison;MIEFIS;(1,6,10,13)
363;Jacquetta;Rillings;MIEI;(9,10,7,10,14)
770;Addia;Noelyn;LCC;(2,16,2,1,1,17)
408;Rhea;Virgin;MIEI;(5)
130;Jessamyn;Laverne;LCC;(17)
919;Ana;Honoria;LCC;(11,11,7,13,18)
891;Johna;Brian;MIEI;(13,3,14)
802;Cam;Juliet;MIEI;(18,5,15,10,14)
530;Fayre;Seagraves;MIEFIS;(15,12,19,7)
633;Maurene;Lytton;MIEFIS;(16)
749;Marylou;Kimmie;MIEFIS;(13,5,18,11)
762;Marcelline;Jefferey;MIEFIS;(9,15,8)
906;Karina;Raseda;MIEI;(19,14,13,12,15)
789;Lorenza;Fancie;MIEFIS;(2,17,2,6,18,11)
174;Sheelagh;Tufts;MIEI;(1,3)
121;Henriette;Mallon;LCC;(12,18,17,9)
777;Cyb;Miru;MIEFIS;(0,1,7,19)
784;Ana;Demitria;MIEI;(13,12,18,2)
468;Lynnea;Bearnard;MIEI;(12,2,13,4)
203;Ruthe;LaRue;LCC;(19)
505;Ketti;Erminia;MIEFIS;(6,19,2,16,15)
988;Dennie;Dichy;MIEFIS;(9,14,17,0)
215;Ann-Marie;Schwejda;LCC;(4,11)
965;Christal;Aurelio;MIEFIS;(7,4,17,19,5,0)
881;Zondra;Gert;MIEI;(10,6,15,19,13)
809;Joeann;Arvo;MIEFIS;(16,11)
266;Lyssa;Behre;MIEFIS;(1,9)
533;Fanchon;Stacy;MIEFIS;(18)
898;Tani;Oriana;LCC;(10)
180;Coral;Pacorro;MIEFIS;(13,18,11)
553;Ginnie;LaRue;LCC;(4,0,0)
537;Lorie;Baylor;LCC;(6,5,1,13)
409;Millie;Bebe;MIEFIS;(9,17,16,13,17,2)
991;Dolli;Eno;MIEFIS;(19)
582;Fawne;Gladstone;LCC;(15,6)
795;Tarra;Gusella;MIEI;(12,14)
989;Chere;Thar;MIEI;(12)
578;Shel;Joni;MIEI;(3,19,6,0,5,17)
874;Marline;Sasnett;MIEI;(0)
102;Justinn;Vharat;MIEI;(16,3,17,13)
202;Christy;Lesley;MIEFIS;(17,1)
995;Codie;Bobbee;LCC;(1,16,3,19)
317;Lanae;Nadia;MIEI;(16,10,8,16,2,15)
293;Keelia;Ventre;LCC;(7)
974;Adriana;Alfons;MIEI;(19,0)
841;Fanny;Arquit;MIEFIS;(8,5,11,1)
757;Alameda;Syd;MIEFIS;(1,9)
724;Shaylyn;Rurik;LCC;(7,7,1,10,11)
797;Lacie;Eugenia;LCC;(3,4,13)
614;Vinita;Cecile;MIEFIS;(4,3,14,10)
112;Shaine;Iphlgenia;MIEI;(2,19)
894;Leontine;Sabella;LCC;(12)
710;Alisha;Jerold;MIEFIS;(2,3,12,14)
984;Giustina;August;LCC;(11,4,1,10,10,9)
690;Regina;Stanwood;MIEI;(10,16,14)
460;Kary;Ricarda;MIEI;(6,16)
802;Asia;Baylor;LCC;(13,14,12,1)
890;Joeann;Briney;MIEFIS;(19,1,4)
111;Tonia;Joseph;MIEI;(1,19,17,18,11,2)
755;Grier;Wilona;MIEI;(16,14)
113;Luci;Berne;MIEI;(18)
209;Jessy;Secrest;MIEFIS;(14,2)
112;Danika;Philoo;MIEI;(7,7,4)
662;Maye;Lipson;LCC;(9,10,14,9,14,18)
263;Roseline;Morehouse;MIEI;(10)
191;Brietta;Moseley;MIEI;(1,9,0,6,16,0)
303;Barbara;Si;LCC;(17)
487;Jacenta;Dulciana;MIEFIS;(12)
514;Edee;Hoenack;MIEFIS;(6,6,6,6,3,6)
128;Kial;Cimbura;MIEI;(18,1,4,6)
667;Cassondra;Middleton;LCC;(0,19,8)
456;Rhoda;Engdahl;LCC;(13,15,9,16)
781;Chickie;Yorick;MIEI;(17,16,2,0,11)
949;Vivia;Evvie;LCC;(9,10)
121;Angelique;Crudden;MIEI;(13,2,18)
708;Elmira;Nea;LCC;(3,1,7,18)
436;Eolanda;Tice;LCC;(15)
250;Gabriellia;Yorick;MIEFIS;(0,6,8,4,4,10)
434;Pollyanna;Sundin;LCC;(0,13,19,7,2,8)
615;Sadie;Rona;MIEI;(6,3,18,8)
530;Sean;Taam;MIEFIS;(7,7,7)
966;Melanie;Rillings;MIEI;(11)
698;Aeriela;Jethro;MIEFIS;(10,12,18,18,16)
736;Caressa;Ade;MIEI;(5,5,13,18,2)
706;Sadie;Amethist;MIEFIS;(8,8,5)
490;Teriann;Ade;MIEFIS;(13,18,6,1)
869;Clo;Gavrila;LCC;(6,19,12,6,10,7)
538;Ethel;Alarise;MIEI;(0,6,2,18,1)
449;Nanete;LaRue;MIEFIS;(17,6,15)
341;Myrtice;Kimmie;MIEI;(7,16,2,10,11)
902;Nonnah;Darian;MIEI;(4,5,3,17,19)
694;Jenilee;Faro;LCC;(10,3,16,8)
575;Fanny;Greyson;LCC;(0,15)
887;Almeta;Remmer;MIEFIS;(8,19)
289;Carilyn;Corrine;MIEI;(19,15)
549;Lynde;Dunkin;LCC;(14,18,18,0)
379;Angela;Abram;MIEI;(12,3,0)
115;Susan;Kelula;MIEI;(9,10,6,18)
374;Annice;Ophelia;LCC;(13,17,10,0,19,17)
264;Jsandye;Loeb;MIEFIS;(17,14,8,11)
407;Moyna;Greyson;MIEFIS;(19,9,8)
843;Gertrud;Gillan;MIEFIS;(7)
408;Alleen;Madox;MIEFIS;(4)
190;Janeczka;Charity;MIEI;(8,2,2,8,4,16)
549;Lusa;LaRue;MIEFIS;(17,17,1,1,0)
988;Natka;Frendel;MIEI;(6,16,5)
879;Allis;Hilbert;LCC;(4,1,16,1)
490;Linzy;Brunell;LCC;(16,6)
427;Debee;Hubert;MIEI;(6,8,16,3,15)
885;Cristabel;Ellerey;MIEI;(7)
410;Phedra;Gunn;LCC;(9,16)
186;Barbi;Modie;MIEI;(9,14,10,17,19,18)
876;Dianemarie;Faso;MIEFIS;(10)
940;Kellen;Jagir;MIEFIS;(18,15,7)
815;Claresta;Carlson;LCC;(19,12,15,13,1)
647;Demetris;Bartlett;LCC;(10,0,8,9,14)
881;Vonny;Schroth;MIEFIS;(8,8,13)
723;Kylynn;Zrike;LCC;(18,18,7,10,16)
862;Farrah;Dunkin;MIEI;(4)
845;Maud;Codding;MIEI;(4,1)
297;Kristan;Norrie;MIEI;(19,2,0)
820;Janeczka;Mallon;LCC;(1,1,19)
964;Goldie;Cottle;MIEI;(5)
582;Rosene;Faso;LCC;(0,1,15,10,17)
925;Merle;Brieta;MIEI;(6,12)
825;Korrie;Dreda;MIEFIS;(10,3,10)
452;Hallie;Montgomery;LCC;(19,15,10)
226;Merry;Silvan;MIEI;(15,12,3,12)
915;Gretal;Ummersen;LCC;(15)
120;Roxane;Tyson;MIEI;(17,2,17,9)
628;Rubie;Kesley;LCC;(10,9,12,13)
855;Odessa;Idelia;MIEFIS;(17,10,6)
206;Emmey;Dannye;LCC;(9,14,10,11)
910;Marita;Letsou;MIEFIS;(10)
681;Sonni;Means;MIEI;(10,5,4,9,17)
425;Talya;Orlene;LCC;(9,18,13)
245;Margette;Sheedy;MIEFIS;(10,8,3)
628;Kamilah;Maxi;MIEFIS;(7,12)
146;Rosene;Israeli;MIEI;(1,8,2,8,19)
511;Briney;Toni;LCC;(6,0)
386;Lizzie;Mayeda;MIEFIS;(8,0,7)
309;Cindelyn;Lail;LCC;(19,11)
290;Winifred;Old;MIEI;(5,7,1,1,18)
448;Hollie;Lea;MIEI;(9,17,2,14,4,9)
742;Katleen;Edison;LCC;(13,11,9,3,5)
749;Aurore;Campball;MIEFIS;(11,13,1)
464;Florencia;Kare;MIEI;(3)
208;Verla;Nance;MIEI;(8,16)
219;Pamella;Leler;MIEI;(10,4)
722;Nessie;Francyne;MIEFIS;(1,16,5,0,10)
714;Karlee;Newell;MIEFIS;(5,4)
529;Esmeralda;Ricarda;LCC;(3,9)
424;Anica;Gaulin;LCC;(16,7,14,12,7)
129;Sashenka;McGrody;MIEI;(17,0,7)
971;Clarice;Pozzy;LCC;(15)
266;Fanny;Pitt;LCC;(5,0,19)
166;Gianina;Nicoline;MIEI;(18,16,12)
939;Kirstin;Hertzfeld;LCC;(10)
959;Fawne;Francyne;LCC;(4,19,8)
698;Carlie;Whiffen;LCC;(2,3,3,18,6,9)
414;Lisette;Izaak;LCC;(10,19,7,0,19,12)
997;Noelle;Jethro;MIEFIS;(5,13)
180;Rebeca;Joseph;LCC;(12,19,18,19,15)
286;Nikki;Philoo;LCC;(7,0,11,1,7,12)
650;Cordi;Wooster;LCC;(0,9)
198;Frank;Marlie;MIEFIS;(2,13,8,9)
561;Carilyn;Niccolo;MIEFIS;(2,14,11,1,9,12)
725;Marinna;Grayce;MIEI;(11)
308;Lisette;Rebecka;LCC;(16,1,5,4)
542;Kamilah;Gunn;LCC;(13,13,0)
567;Stacey;Bebe;LCC;(5,7,6)
240;Glenda;Agle;LCC;(19,8,10,9)
177;Olwen;Lalitta;LCC;(11,0)
832;Cindelyn;Lasley;MIEFIS;(13,17)
690;Britni;Oscar;MIEFIS;(2,7,5,16,7)
551;Rhea;Bobbee;LCC;(4,5,1,5)
606;Roxane;Whittaker;MIEFIS;(17,8,8,8)
408;Stephanie;Deegan;LCC;(8,14,7,16,2,0)
445;Adelle;Earlie;MIEFIS;(6,19)
921;Jinny;Fry;MIEI;(16,5,8)
634;Joelly;Nance;MIEFIS;(4,7,8,10)
230;Adele;Eliathas;MIEFIS;(6,17,7,13)
578;Phylis;Erb;MIEFIS;(1,2,16,10)
711;Susette;Ochs;MIEI;(16,3)
973;Rosabelle;Odysseus;MIEFIS;(6,18,11,2)
426;Daryl;Lay;MIEI;(12,15)
982;Oralee;Arley;LCC;(12,10,18,2,15)
970;Merle;Bebe;LCC;(0,1,15)
717;Sharlene;Thilda;MIEI;(11,6)
111;Roslyn;Alabaster;LCC;(4,15,11,1,5,9)
661;Margette;Kazimir;MIEI;(1,10,14,17)
281;Ursulina;Old;LCC;(17,10,17,8,0)
578;Sherrie;Sheng;MIEFIS;(14,17,17,0)
453;Loree;Rona;LCC;(4,16,15,11)
391;Glynnis;Hebner;MIEI;(8,19,16)
314;Gui;Rolf;MIEFIS;(13,10,18,0,19,14)
873;Nadine;Birdella;LCC;(4,9,18,0,2)
338;Rosaline;Truc;MIEFIS;(3,13,12,1)
145;Brana;Baylor;LCC;(2,2,1,4,1,1)
700;Lilith;Cornelia;LCC;(1,5,7,1)
243;Meriel;Pandolfi;MIEI;(18)
244;Jackie;Lasley;LCC;(10,12)
760;Wileen;Colyer;MIEFIS;(19,10,11,8)
516;Diena;Bakerman;MIEFIS;(7)
810;Etta;Hilbert;LCC;(19,16,1)
270;Janeczka;Carlson;MIEI;(2,15)
482;Catharine;Audly;MIEI;(16)
472;Babita;Gualtiero;MIEFIS;(2,0,0,12)
433;Ira;Millda;MIEI;(1)
358;Elena;Lewes;MIEI;(16,12,4)
910;Jan;Anis;MIEI;(19,1,8,11,14)
861;Adore;Melony;MIEFIS;(14,5,13,2)
108;Brooks;Kiersten;LCC;(5,10,6)
762;Silvana;Brittani;LCC;(11,2,14,19,6)
756;Kaia;Hewitt;LCC;(18,2,10)
498;Ermengarde;Haerr;LCC;(17,19)
854;Dagmar;Tjon;LCC;(6)
405;Miquela;Elephus;MIEI;(11,3,15,11)
794;Elise;Erb;MIEI;(8)
310;Paola;Liva;MIEI;(4,8,9,9,17,1)
689;Perry;Jerold;MIEFIS;(7,0)
713;Romona;Nester;MIEFIS;(14,0,0,15,14,5)
581;Brena;Abram;MIEI;(4,10)
209;Mireielle;Magdalen;LCC;(16,11,17,8)
745;Arlena;Alexandr;MIEFIS;(4,3,16,0,13,6)
376;Gale;Lissi;MIEI;(13,8,15,16)
816;Tatiania;Carleen;LCC;(19,3)
724;Krystle;Rocray;LCC;(8,12,16)
964;Valeda;Marsden;MIEI;(11)
243;Jeanna;Dorcy;LCC;(6,19,2,2,18)
626;Celene;Holbrook;LCC;(7,4,8,10,18)
640;Kerrin;Roxanna;MIEFIS;(11,17,18,2)
641;Joy;Raama;MIEI;(7,3,10,1,19)
742;Celene;Strephon;LCC;(19,19,0,8,1)
533;Dulce;Jacobah;MIEI;(18,2,17)
136;Dale;Wadell;MIEI;(15,14)
735;Elbertina;Middleton;MIEI;(18,15,7,9,11,16)
782;Fernande;Barrus;LCC;(10,13)
605;Nita;Bendick;LCC;(2,8)
647;Lelah;Earlie;MIEFIS;(0,0)
324;Sharlene;Harned;LCC;(2,4,4,6,14)
611;Paola;Gwenore;MIEFIS;(11)
722;Abbie;Burch;MIEFIS;(14,4,9)
570;Aigneis;Philoo;MIEFIS;(10,6)
686;Rebeca;Cleavland;MIEI;(8)
294;Brooks;Buckler;LCC;(4,13,16,13)
229;Leeanne;Thilda;LCC;(9,3,8,1,14,15)
223;Nessie;Martsen;MIEFIS;(6,1,0)
870;Monika;Tamsky;MIEI;(10,3,0,2,2)
757;Lanae;Infield;LCC;(8,4)
404;Gaylene;Afton;LCC;(1,16,0,18)
289;Sheree;Rurik;LCC;(1,5,14,13,13,9)
145;Oralee;Maiah;LCC;(3,19,8,19)
471;Jan;Giule;LCC;(2,11,0,8)
844;Drucie;Faro;MIEFIS;(2,2,1,18)
577;Theodora;Lacombe;MIEI;(19,12,0,12,15,9)
940;Fina;Haymes;MIEI;(9)
765;Kirstin;Iaverne;LCC;(4,11,10,19,9)
592;Sarette;Bord;LCC;(7,11,9,8,3)
369;Hyacinthe;Zitvaa;MIEI;(18,10,7,16,17,6)
909;Cristine;Korey;MIEFIS;(4,16,3,8)
867;Linet;Tippets;MIEFIS;(12)
770;Suzette;Lanita;LCC;(0,3)
500;Constance;Janith;LCC;(9,16,14,3,4)
699;Fanny;Ursulette;MIEI;(8,8,6,9,5)
886;Oralee;Lia;LCC;(2,9,18)
777;Danika;Ezar;MIEI;(5,5,13,7,16)
776;Daryl;Delacourt;MIEFIS;(7,16)
336;Kristan;Hollingsworth;MIEFIS;(3,12,10,15)
374;Deirdre;Beniamino;MIEI;(16,8,0,19)
620;Aurore;Erminia;MIEFIS;(12,3)
365;Ebonee;Stilwell;MIEI;(0)
477;Dulce;Billye;MIEI;(15,16,12)
136;Belva;Newell;MIEFIS;(18,0,8)
245;Micheline;Tannie;LCC;(8,7,0)
828;Devina;Liva;MIEFIS;(2)
360;Lauryn;Nisbet;MIEI;(17,11,17,15)
995;Phedra;Narton;MIEI;(8,3,9,0,11)
706;Rivalee;Concha;LCC;(3,9,15)
424;Sabina;Hermes;MIEFIS;(7,14,3,6,15,0)
107;Janey;Dorothy;MIEFIS;(18,11,14)
169;Robinia;Weaks;LCC;(4)
648;Ardenia;Fadiman;LCC;(13,1,1,15)
671;Pierette;Danby;MIEFIS;(3,0,7,16,16,13)
456;Rochette;Kravits;LCC;(1,10,18,1,18,11)
523;Tressa;Guildroy;MIEFIS;(6,13,18)
171;Corry;Stoller;LCC;(10)
492;Tiffie;Johanna;MIEI;(14,13,3)
877;Latisha;Braun;LCC;(7,13,3,5,10,0)
537;Kristina;Tayib;MIEI;(17,13,18,19)
723;Dode;Leffen;LCC;(11)
631;Helsa;Eben;MIEI;(18,9,9,18,15,10)
504;Queenie;Ursulette;MIEI;(5,9,9,6,19)
240;Raina;Kalinda;MIEFIS;(11,5,8,19,0,7)
305;Kore;Eldrid;MIEFIS;(9,13,1,12,2)
102;Kimberley;Hull;MIEI;(15,17,16,7,1)
301;Belva;Maurine;LCC;(2,11,18,3,19,17)
996;Yolane;Kevon;MIEFIS;(19,17,14,16,17)
590;Pearline;Carlson;MIEFIS;(8,8,1,7,4)
884;Mireielle;Toni;LCC;(2,18,15)
767;Mara;Ackerley;MIEI;(17,9,12,12,19,13)
566;Corly;Candy;MIEFIS;(11,11,2,13,9,3)
124;Modestia;Xerxes;MIEI;(10,14,13)
415;Aili;Anis;MIEFIS;(14,0,17,6,10)
535;Ilse;Rozanna;MIEI;(18,7,0)
988;Kirstin;Maiah;LCC;(6,2,1,8,11,2)
304;Alex;Norrie;MIEFIS;(3,8,2,10,10,17)
529;Verla;Zola;MIEI;(13,10,10,3)
512;Margalo;Ciro;MIEFIS;(3,0,9,19,3,15)
466;Codie;Trace;MIEI;(1,17,6)
406;Frank;Croix;MIEI;(1,11,16,2,10)
886;Katleen;Sholley;LCC;(9,15,4,12)
713;Sallie;Fitzsimmons;MIEFIS;(11,11,5,1)
738;Wileen;Llovera;LCC;(13)
422;Berget;Jerold;LCC;(10,16,4,3)
350;Fina;Hartnett;LCC;(9)
536;Vita;Abbot;MIEFIS;(8,13,9,12)
702;Belva;Klemperer;LCC;(3,11,3)
430;Eugine;Virgin;LCC;(18)
701;Yetty;Moina;LCC;(19,3,5,15,12)
998;Gisela;Ehrman;MIEI;(19,18,8)
130;Delilah;Quinn;MIEFIS;(0,10,7,14)
186;Dorothy;Zenas;MIEFIS;(19,13,15,11)
430;Ulrike;Malina;LCC;(10,15,16)
880;Meriel;Dahlia;LCC;(6,2)
824;Rani;Lory;MIEFIS;(12)
701;Gusella;McAdams;MIEFIS;(2,17,15,7,0,8)
813;Lorne;Cleo;MIEFIS;(6,2,12,3,6,5)
334;Cyndie;Rona;MIEI;(18,5)
312;Steffane;Amasa;MIEFIS;(18,12)
410;Shell;Mathilde;LCC;(19,2,6)
974;Cristine;Dreda;MIEI;(15,6)
945;Farrah;Carbo;MIEFIS;(0,1,11,11,18)
273;Reeba;Bennie;MIEFIS;(9,4,18,17)
130;Lizzie;Berl;LCC;(5,6)
473;Bernie;Ranjiv;MIEI;(9,16,3,2)
949;Oona;Septima;MIEFIS;(7,10,2,11,3,17)
577;Winny;Felizio;MIEI;(9,6)
676;Shell;Guthrie;MIEFIS;(3)
521;Lauryn;Japeth;MIEI;(19,14,3,14,0)
406;Ayn;Donoghue;LCC;(13,8,11,5,7,9)
476;Mahalia;Dichy;LCC;(13,15,1,12,8,8)
737;Philis;Colp;LCC;(1,6,10,17,10)
116;Korrie;Bow;LCC;(3,8)
935;Beth;Jehu;MIEFIS;(4)
515;Iseabal;Dermott;MIEI;(8,19,7,7,13)
260;Mildrid;Mich;MIEI;(6,8,11)
862;Rosene;Rad;LCC;(17,10)
584;Ashlee;Obed;LCC;(12,14,8,12)
232;Mamie;Winthorpe;MIEI;(9)
776;Korrie;Lutero;LCC;(8,11,0,0)
508;Ginnie;Earlie;MIEFIS;(0,13,5)
558;Nataline;Florina;MIEI;(8,8,8,11)
701;Sue;Zachary;LCC;(5)
352;Kara-Lynn;Secrest;MIEFIS;(19,3,19,2,0,10)
739;Michaelina;McAdams;LCC;(15)
428;Madalyn;Urania;MIEI;(16,2,10,18,13,15)
531;Demetris;Alexandr;MIEI;(0,12,8)
272;Bibby;Greenwald;LCC;(17,0,17,19,1)
478;Minne;Bury;MIEFIS;(17,17,11,7,4)
322;Averyl;Narton;LCC;(5,13,14,10,13)
765;Alexine;Erb;MIEFIS;(15,5,0)
742;Wynne;Stilwell;LCC;(8,8,6)
300;Orsola;Connelly;MIEFIS;(19,0,18)
875;Maud;Stanwood;MIEFIS;(10,11)
599;Britte;Firmin;LCC;(6,4,17,18,2,15)
615;Tonia;Romelda;LCC;(1,13,12,13)
616;Cam;Hillel;MIEFIS;(2,10,19,11,14,5)
256;Marline;Alarise;MIEI;(17,12,12,18,3,4)
467;Adelle;Gemini;MIEFIS;(11,6,2,0,7)
663;Kayla;Rolf;LCC;(16)
114;Wendi;Schalles;MIEFIS;(0,2,19,19,16)
585;Aurore;Prouty;LCC;(8,18)
351;Pierette;Lipson;MIEI;(0,14,10)
532;Shandie;Dominy;LCC;(3)
679;Cristabel;Bonilla;MIEFIS;(1)
710;Bettine;Oneida;MIEFIS;(19,1,1,8,16,4)
978;Jere;Rubie;LCC;(9,16,15,14,18,3)
386;Gui;Simmonds;MIEI;(14,4,5)
602;Brynna;Kelula;MIEFIS;(18,18,1,9,16)
170;Ulrike;Raffo;LCC;(12)
664;Sashenka;Sikorski;MIEFIS;(15,4,6,7,2)
315;Lorie;Amand;LCC;(15)
741;Ebonee;Christine;LCC;(18,16,12)
144;Tami;Blake;MIEI;(15,9,18,16)
314;Nonnah;Hertzfeld;MIEFIS;(5)
865;Ariela;Iiette;LCC;(1,11,19,15,5)
964;Leona;Chabot;MIEFIS;(15,17)
947;Olivette;Dreda;LCC;(13,12,13,9,19,5)
187;Cordi;Center;LCC;(18,2,7,3,3,7)
905;Alyssa;Ummersen;MIEI;(2,6,9,2,13)
195;Isa;Morrill;LCC;(1,7,4)
788;Hallie;Fancie;LCC;(8,7,1,16)
678;Phedra;Maples;MIEFIS;(18,7,5,12,16,5)
543;Alisha;Ivens;MIEFIS;(7,18,5,10)
853;Tera;Taam;MIEI;(16,18,7,18,6)
855;Judy;Brodench;MIEFIS;(2,2,17,12,3,1)
803;Netty;Tamsky;MIEFIS;(15,11,16,11,15)
381;Josephine;Ramona;LCC;(9,8)
247;Liana;Joli;LCC;(16,16,6,19)
578;Carree;Eiser;MIEI;(15)
539;Ardys;Saree;MIEFIS;(6,0,12,1,3,13)
846;Blondelle;Terrence;LCC;(2)
875;Charlena;Damarra;MIEI;(16,2,6)
922;Hermione;Slifka;MIEI;(6,4,14)
593;Pearline;Esmaria;MIEI;(13,9)
521;Dale;Charmine;LCC;(11,12,1,2,1)
558;Gilligan;Hessler;LCC;(11,7,15)
267;Teddie;Clarissa;MIEFIS;(15,16,5)
637;Roxane;Norvol;LCC;(18,6,14,3)
747;Agathe;Germann;LCC;(17,5,11,14)
630;Marcy;Malvino;MIEFIS;(1,3)
393;Malina;Eachern;MIEI;(6)
410;Daune;Aaberg;MIEFIS;(4)
317;Albertina;Gaynor;MIEFIS;(7,16)
773;Carolina;Schalles;MIEI;(16,0,15,11)
507;Janeczka;Bohlin;LCC;(3,2,17,1)
952;Michaelina;Melan;LCC;(10,13,14,6,18,1)
236;Sybille;Emmaline;MIEI;(14,11,14,13,0,15)
162;Katleen;Silvan;MIEFIS;(9,14,17)
743;Aimil;Remmer;MIEFIS;(4,15,19)
855;Delilah;Bobbee;LCC;(11,17,17,15)
552;Demetris;Albertine;MIEI;(17,16)
355;Etta;Henebry;LCC;(0,15,11,18,10)
994;Melina;Graig;MIEFIS;(2,9,12)
493;Ketti;Liebermann;MIEI;(5,16,15,11,14,11)
938;Korrie;Presber;LCC;(10,16,1,19,6)
393;Blinni;Maxi;MIEFIS;(8,6,0,17,13)
772;Marsiella;Francene;LCC;(1)
775;Ardenia;Claudine;MIEI;(3,16)
917;Elena;Valoniah;MIEI;(17,1,4)
851;Mellicent;Diogenes;LCC;(3,2)
694;Dorice;Urias;MIEI;(19,19,5,11,7)
733;Elmira;Gahl;MIEFIS;(16,6)
890;Stevana;Haerr;LCC;(3,7,10,14)
402;Joceline;Truc;MIEI;(10,6,13)
930;Corry;Darian;MIEFIS;(1,15,14,6,10)
803;Candi;Pulsifer;LCC;(9)
809;Adelle;Nester;MIEI;(2)
221;Mahalia;Hirsch;MIEI;(0,2,17,7)
371;Lesly;Gualtiero;MIEI;(13)
524;Shandie;Oneida;MIEI;(19,3)
696;Carmela;Toni;MIEI;(13,18,9,14)
897;Shauna;Jena;MIEI;(2)
686;Edee;Noman;MIEFIS;(10,16,13,9,9)
782;Rhoda;Hanshaw;MIEI;(5)
667;Agnese;Nerita;LCC;(4,11,15,19)
852;Ingrid;Pozzy;LCC;(4,2)
784;Lonnie;Bach;MIEFIS;(0,6,14,17,3)
953;Elvira;Ortrude;MIEI;(4,4,9)
604;Rori;Kravits;LCC;(14,16,3,12,3,3)
689;Rozele;Sothena;LCC;(18,12,4,9,6)
789;Ulrike;Gaspard;MIEFIS;(13)
940;Shel;Cecile;LCC;(18,4,3)
708;Roseline;Leffen;MIEFIS;(19,8,4,5,2,1)
645;Dyann;Cleavland;MIEI;(13,19,13)
912;Alisha;Goddard;MIEI;(16)
692;Flory;Croix;MIEI;(18,18,15,9,0)
972;Marcelline;Ursulette;LCC;(11)
123;Arlena;Gamaliel;LCC;(6,8,14,14,10)
114;Laurene;Winthorpe;MIEI;(0,10,13,3,13,3)
518;Gui;Eckblad;MIEI;(10,1)
204;Roseline;Autrey;MIEFIS;(0,3,16,13,11)
787;Rubie;Eckblad;MIEI;(0,0)
933;Kaja;Thornburg;MIEFIS;(0,5,16,6,7,14)
113;Aigneis;Milson;LCC;(4,0,17,17)
687;Starla;O'Neill;MIEI;(1,4,12,11)
992;Belinda;Dermott;MIEI;(12,15,12)
741;Chere;Peonir;LCC;(4,11)
144;Melanie;Burch;MIEI;(6,6,13,15)
626;Blake;Dosia;MIEFIS;(4,3,0,11,6)
894;Jordan;Delp;LCC;(8,8,17)
449;Fanchon;Ahab;LCC;(2)
649;Lynea;Alejoa;MIEI;(12,12,16,11,13,15)
436;Mireielle;Argus;MIEI;(12,10)
