numero;primeiroNome;ultimoNome;email;curso;notas*max
825;Aigneis;Iphlgenia;Aigneis.Iphlgenia@gmail.com;MIEI;(18,16,11,13,17,18)
136;Margette;Germann;Margette.Germann@gmail.com;MIEI;(16,16,10,7)
140;Peri;Joachim;Peri.Joachim@gmail.com;MIEI;(18,11,9,7)
352;Henriette;Sholley;Henriette.Sholley@gmail.com;MIEFIS;(9,18,6,4,15,5)
555;Ezmeralda;Suzetta;Ezmeralda.Suzetta@gmail.com;MIEI;(0,7,14,10)
807;Amii;Dalli;Amii.Dalli@gmail.com;MIEI;(6,6,4,6,2,8)
758;Shaine;McGrody;Shaine.McGrody@gmail.com;MIEI;(10)
582;Tamqrah;Sadowski;Tamqrah.Sadowski@gmail.com;MIEI;(4,8,8,8)
668;Konstance;Luhe;Konstance.Luhe@gmail.com;MIEI;(5,9,16,17,12)
280;Lita;Han;Lita.Han@gmail.com;MIEFIS;(3)
992;Dawn;Eckblad;Dawn.Eckblad@gmail.com;LCC;(13)
625;Marcelline;Allina;Marcelline.Allina@gmail.com;LCC;(3)
917;Shauna;Reidar;Shauna.Reidar@gmail.com;MIEI;(17,18,1,13)
910;Nadine;Rustice;Nadine.Rustice@gmail.com;MIEI;(11,17,8,8,0)
255;Anallese;Cleavland;Anallese.Cleavland@gmail.com;LCC;(11)
667;Annice;Rosemary;Annice.Rosemary@gmail.com;LCC;(17,18)
263;Adore;Forrer;Adore.Forrer@gmail.com;MIEI;(8,11,16,7,2,6)
271;Grier;Janene;Grier.Janene@gmail.com;MIEFIS;(6,18,13,1,13,15)
928;Marylou;Trace;Marylou.Trace@gmail.com;MIEI;(10)
896;Kayla;Lalitta;Kayla.Lalitta@gmail.com;MIEI;(6,9,7)
477;Harmonia;Blake;Harmonia.Blake@gmail.com;MIEFIS;(10)
190;Ilse;Warthman;Ilse.Warthman@gmail.com;LCC;(5,19,15,11,3)
415;Kimmy;Skurnik;Kimmy.Skurnik@gmail.com;MIEFIS;(15,3,7,13)
210;Jessy;Knowling;Jessy.Knowling@gmail.com;LCC;(16,15,13)
856;Jacenta;Lipson;Jacenta.Lipson@gmail.com;MIEI;(13,0,8,4)
116;Sindee;Gordon;Sindee.Gordon@gmail.com;MIEFIS;(11,7,3,3)
450;Candi;Merna;Candi.Merna@gmail.com;MIEI;(17,9)
156;Marcelline;Breed;Marcelline.Breed@gmail.com;MIEI;(7,13,9,15,0)
576;Judy;Mitzi;Judy.Mitzi@gmail.com;LCC;(16,14)
728;Lucille;Stuart;Lucille.Stuart@gmail.com;LCC;(7,18,9,15,19)
758;Rochette;Girardo;Rochette.Girardo@gmail.com;MIEFIS;(18,13,2,5,11,13)
519;Corina;Therine;Corina.Therine@gmail.com;MIEI;(1,10,19,16)
434;Fina;Norrie;Fina.Norrie@gmail.com;MIEI;(7,19,19,6,13)
545;Nannie;Screens;Nannie.Screens@gmail.com;LCC;(4,8,16,6,1)
970;Vita;Creamer;Vita.Creamer@gmail.com;MIEFIS;(13,4,18,17,0)
582;Adelle;Fink;Adelle.Fink@gmail.com;LCC;(15,12,8)
617;Phedra;Ludewig;Phedra.Ludewig@gmail.com;MIEI;(8,1)
890;Vevay;Sothena;Vevay.Sothena@gmail.com;LCC;(14,2)
920;Oralee;Elbertina;Oralee.Elbertina@gmail.com;MIEFIS;(0,7)
363;Keelia;Kelula;Keelia.Kelula@gmail.com;MIEI;(11,14,10,5,19,16)
962;Winny;Hylan;Winny.Hylan@gmail.com;MIEFIS;(10,17,14,15)
996;Elena;Elisha;Elena.Elisha@gmail.com;LCC;(4)
637;Deane;Zola;Deane.Zola@gmail.com;MIEI;(11,18)
102;Aurelie;Pip;Aurelie.Pip@gmail.com;LCC;(1,15,19,8,2,12)
439;Jaime;Daniele;Jaime.Daniele@gmail.com;MIEFIS;(1,3,5,16,16,7)
617;Ivett;Henebry;Ivett.Henebry@gmail.com;MIEFIS;(10,14)
618;Janey;Brenn;Janey.Brenn@gmail.com;LCC;(8,12,13,10,6,10)
219;Ketti;Sherrie;Ketti.Sherrie@gmail.com;MIEI;(9,18,1,13,3,0)
385;Correy;Podvin;Correy.Podvin@gmail.com;LCC;(7,6,0)
704;Rivalee;Madaih;Rivalee.Madaih@gmail.com;MIEFIS;(2,19)
375;Shell;Dorine;Shell.Dorine@gmail.com;MIEI;(9,13)
965;Albertina;Ax;Albertina.Ax@gmail.com;MIEI;(6,7,2)
915;Hannis;Tybald;Hannis.Tybald@gmail.com;LCC;(5,6,6,15,11,16)
761;Margarette;Earlie;Margarette.Earlie@gmail.com;MIEFIS;(15,10)
367;Nelle;Salchunas;Nelle.Salchunas@gmail.com;MIEI;(16,18,14,1)
565;Bettine;Loleta;Bettine.Loleta@gmail.com;LCC;(6,10,6)
557;Jessamyn;Garrison;Jessamyn.Garrison@gmail.com;MIEFIS;(11,5)
172;Juliane;Emmy;Juliane.Emmy@gmail.com;MIEFIS;(2,3,8)
473;Kirbee;Colleen;Kirbee.Colleen@gmail.com;MIEI;(16,9)
554;Siana;Kellby;Siana.Kellby@gmail.com;LCC;(12,2,19,2)
503;Gale;Joachim;Gale.Joachim@gmail.com;MIEI;(10,4)
347;Vere;Tyson;Vere.Tyson@gmail.com;MIEI;(7,6,4,12)
215;Jinny;Diann;Jinny.Diann@gmail.com;LCC;(14,4,7)
278;Valli;Suk;Valli.Suk@gmail.com;LCC;(3)
211;Pollyanna;Teryn;Pollyanna.Teryn@gmail.com;MIEI;(9,14,16,16,5,15)
637;Cyndie;Monaco;Cyndie.Monaco@gmail.com;MIEFIS;(3,18,8,13,6,17)
509;Tracey;Winthorpe;Tracey.Winthorpe@gmail.com;LCC;(4,10)
435;Maud;Lacombe;Maud.Lacombe@gmail.com;MIEI;(2,17,15)
398;Nita;Si;Nita.Si@gmail.com;MIEFIS;(15)
766;Tera;Rillings;Tera.Rillings@gmail.com;LCC;(15,6,19,18,11)
938;Joceline;Vanni;Joceline.Vanni@gmail.com;MIEFIS;(1,5)
230;Coral;Gemini;Coral.Gemini@gmail.com;LCC;(8,18,12,4,1,7)
474;Benita;Shaver;Benita.Shaver@gmail.com;MIEFIS;(15,6,14,7,19,11)
738;Elie;Payson;Elie.Payson@gmail.com;MIEI;(12,4,9)
527;Bee;Neva;Bee.Neva@gmail.com;MIEFIS;(3,5,9,2)
347;Florencia;Marijo;Florencia.Marijo@gmail.com;MIEI;(8,7,12,1,0,15)
430;Hayley;Reinke;Hayley.Reinke@gmail.com;MIEFIS;(5,3,12)
740;Pearline;Meli;Pearline.Meli@gmail.com;LCC;(13)
943;Lusa;Taima;Lusa.Taima@gmail.com;MIEI;(13)
531;Marsiella;Deegan;Marsiella.Deegan@gmail.com;MIEI;(5,18,9,4,9)
313;Angelique;Kiersten;Angelique.Kiersten@gmail.com;LCC;(11,14,13,0)
308;Ronna;Uund;Ronna.Uund@gmail.com;LCC;(15,12,14,17)
249;Loree;Martguerita;Loree.Martguerita@gmail.com;LCC;(0,0,2,5,1,1)
333;Konstance;Macey;Konstance.Macey@gmail.com;LCC;(0,18,4,8,6,12)
705;Natka;Stevy;Natka.Stevy@gmail.com;LCC;(11,3,17,0,7)
747;Abbie;Aloise;Abbie.Aloise@gmail.com;LCC;(5,11,10,11)
385;Cristabel;Lory;Cristabel.Lory@gmail.com;MIEI;(5,0,1,19,8)
337;Adele;Howlyn;Adele.Howlyn@gmail.com;LCC;(8,18,1,12,15)
744;Charissa;Gaal;Charissa.Gaal@gmail.com;LCC;(9,13,10,19,11)
843;Britte;Fancie;Britte.Fancie@gmail.com;MIEI;(5,9,6)
876;Evita;Posner;Evita.Posner@gmail.com;MIEI;(17,18,10)
242;Arlina;Janene;Arlina.Janene@gmail.com;MIEFIS;(2,13,1)
456;Dorene;Imelida;Dorene.Imelida@gmail.com;MIEFIS;(4,16)
215;Nessie;Nelsen;Nessie.Nelsen@gmail.com;LCC;(3,8,5,16,10,13)
549;Flory;Moseley;Flory.Moseley@gmail.com;LCC;(15)
172;Audrie;Arvo;Audrie.Arvo@gmail.com;MIEFIS;(18,4,10,5)
931;Dode;Melony;Dode.Melony@gmail.com;LCC;(9,7,2)
603;Yetty;Olin;Yetty.Olin@gmail.com;MIEI;(1,11,12,12)
840;Renie;Alfons;Renie.Alfons@gmail.com;LCC;(19,13,5)
978;Cecile;Suk;Cecile.Suk@gmail.com;MIEI;(9,5,7,9,0)
760;Dede;Odell;Dede.Odell@gmail.com;LCC;(7,15,19)
885;Shirlee;Merna;Shirlee.Merna@gmail.com;MIEFIS;(12,12,6,13,0)
580;Joane;Lynn;Joane.Lynn@gmail.com;MIEI;(17)
281;Lelah;Ailyn;Lelah.Ailyn@gmail.com;MIEI;(6,3,19,7,10,12)
693;Katuscha;Kevon;Katuscha.Kevon@gmail.com;MIEI;(2,2)
200;Celisse;Tound;Celisse.Tound@gmail.com;LCC;(17,15,3,4,15)
781;Katuscha;Ralfston;Katuscha.Ralfston@gmail.com;LCC;(3)
473;Alyssa;Bow;Alyssa.Bow@gmail.com;LCC;(14,12,7,10,4,13)
232;Emma;Henebry;Emma.Henebry@gmail.com;LCC;(3,0,5,0)
308;Liana;Giff;Liana.Giff@gmail.com;MIEFIS;(5,5,7,8)
386;Genevra;Norrie;Genevra.Norrie@gmail.com;MIEI;(7,15,0,4,8)
358;Janis;Gaspard;Janis.Gaspard@gmail.com;MIEI;(0,16,2,7)
590;Aubrie;Yate;Aubrie.Yate@gmail.com;MIEI;(14)
701;Oona;Roumell;Oona.Roumell@gmail.com;LCC;(4,5,5,1,18)
257;Sophia;Janene;Sophia.Janene@gmail.com;MIEI;(2,12)
477;Dione;Abbot;Dione.Abbot@gmail.com;LCC;(15,17)
200;Robinia;Hailee;Robinia.Hailee@gmail.com;MIEI;(11,11,6)
365;Brietta;Cyrie;Brietta.Cyrie@gmail.com;LCC;(15)
796;Shauna;Constancy;Shauna.Constancy@gmail.com;MIEI;(4)
496;Laure;Dom;Laure.Dom@gmail.com;MIEI;(13)
167;Gaylene;Rugen;Gaylene.Rugen@gmail.com;LCC;(18)
931;Peri;Othilia;Peri.Othilia@gmail.com;MIEFIS;(8,7,2,18,1)
848;Georgina;Ardra;Georgina.Ardra@gmail.com;LCC;(6,9,9,12)
203;Lesly;Abram;Lesly.Abram@gmail.com;MIEFIS;(7,7,0)
384;Marleah;Pandolfi;Marleah.Pandolfi@gmail.com;LCC;(7,7,9,7,13)
221;Heida;Belldas;Heida.Belldas@gmail.com;LCC;(19,10,1,5,4)
187;Cathyleen;Yam;Cathyleen.Yam@gmail.com;MIEFIS;(12,7,8,4,0)
704;Lanna;Arvo;Lanna.Arvo@gmail.com;LCC;(16,19,3)
351;Mahalia;Dorcy;Mahalia.Dorcy@gmail.com;MIEI;(3,0,14,14)
378;Dania;Leifeste;Dania.Leifeste@gmail.com;MIEFIS;(4)
446;Pierette;Denis;Pierette.Denis@gmail.com;MIEFIS;(17,18,10,11)
914;Kathy;Tristram;Kathy.Tristram@gmail.com;LCC;(2,13,3,11)
372;Barbara;Bultman;Barbara.Bultman@gmail.com;MIEFIS;(12,1,15,15,19,2)
966;Perry;Natalia;Perry.Natalia@gmail.com;MIEI;(15,0,2)
478;Shandie;Adlare;Shandie.Adlare@gmail.com;LCC;(16)
101;Aaren;Xerxes;Aaren.Xerxes@gmail.com;MIEFIS;(10,18,12,12,15)
751;Jemie;Terrence;Jemie.Terrence@gmail.com;LCC;(0,18,13)
387;Dania;Nadia;Dania.Nadia@gmail.com;MIEI;(9,15,11,1)
457;Jenda;Morrill;Jenda.Morrill@gmail.com;LCC;(17,7,15,8,5,2)
738;Donetta;Yate;Donetta.Yate@gmail.com;LCC;(14,19,0,14,13)
671;Gertrud;Paine;Gertrud.Paine@gmail.com;MIEI;(19,5,9,16)
137;Ayn;Schonfeld;Ayn.Schonfeld@gmail.com;MIEFIS;(7,11,1,5)
481;Josephine;Middleton;Josephine.Middleton@gmail.com;MIEI;(0,19,15,9)
628;Dari;Malanie;Dari.Malanie@gmail.com;MIEI;(15)
208;Nikki;Liva;Nikki.Liva@gmail.com;MIEI;(2,8,8,11)
382;Randa;Colbert;Randa.Colbert@gmail.com;MIEFIS;(9,1,2,10,15,16)
433;Tatiania;Diogenes;Tatiania.Diogenes@gmail.com;MIEFIS;(16,17,8)
228;Lyssa;Zrike;Lyssa.Zrike@gmail.com;MIEI;(12,9)
932;Lynnea;Swigart;Lynnea.Swigart@gmail.com;MIEFIS;(3,10,8,11,1)
127;Ariela;Serilda;Ariela.Serilda@gmail.com;LCC;(18,9,15,10,13)
974;Lenna;Gavrila;Lenna.Gavrila@gmail.com;MIEFIS;(16)
492;Frieda;Yam;Frieda.Yam@gmail.com;MIEFIS;(1,11,6,13,0)
320;Mallory;Buckler;Mallory.Buckler@gmail.com;LCC;(3)
907;Andeee;Maisey;Andeee.Maisey@gmail.com;MIEFIS;(8,14)
971;Nananne;Clywd;Nananne.Clywd@gmail.com;MIEI;(6,4,5,19)
882;Consuela;Carleen;Consuela.Carleen@gmail.com;MIEI;(5,1,9)
306;Flo;Reidar;Flo.Reidar@gmail.com;MIEI;(13,15,10)
760;Nonnah;Brenn;Nonnah.Brenn@gmail.com;MIEI;(7,9)
868;Gertrud;Viddah;Gertrud.Viddah@gmail.com;LCC;(4,6,17,8,12,1)
755;Ayn;Malina;Ayn.Malina@gmail.com;MIEFIS;(6,19)
567;Aigneis;Chandler;Aigneis.Chandler@gmail.com;LCC;(0)
