numero;primeiroNome;ultimoNome;email;curso;notas*min
338;Lorenza;Kendrick;Lorenza.Kendrick@gmail.com;MIEI;(7,12,7)
112;Lynea;Rogerio;Lynea.Rogerio@gmail.com;LCC;(1,9)
639;Darci;Edvard;Darci.Edvard@gmail.com;MIEFIS;(1,3)
509;Silvana;Konyn;Silvana.Konyn@gmail.com;MIEI;(18,3,15)
243;Rebeca;Graig;Rebeca.Graig@gmail.com;MIEI;(1,2,8)
958;Georgetta;Hathaway;Georgetta.Hathaway@gmail.com;LCC;(11)
602;Olivette;Joeann;Olivette.Joeann@gmail.com;MIEI;(11,17,6)
996;Wilma;Alva;Wilma.Alva@gmail.com;MIEI;(13,5,3,6,0)
875;Carol-Jean;Tillford;Carol-Jean.Tillford@gmail.com;MIEI;(13,9,1,15,16,17)
722;Rhoda;Stanwood;Rhoda.Stanwood@gmail.com;MIEI;(12,9,13,6)
784;Feliza;Rebecka;Feliza.Rebecka@gmail.com;MIEFIS;(12)
874;Jerry;Vilma;Jerry.Vilma@gmail.com;MIEFIS;(19,2)
208;Beatriz;Carvey;Beatriz.Carvey@gmail.com;MIEI;(19,3,15,17)
977;Edyth;Martsen;Edyth.Martsen@gmail.com;MIEFIS;(16,10)
929;Mara;Robertson;Mara.Robertson@gmail.com;MIEI;(7,7,12,11,19)
780;Sashenka;Chabot;Sashenka.Chabot@gmail.com;LCC;(14)
833;Blondelle;Fax;Blondelle.Fax@gmail.com;MIEI;(17,8)
209;Candi;Rona;Candi.Rona@gmail.com;MIEI;(6,3)
226;Lanna;Cloris;Lanna.Cloris@gmail.com;MIEI;(2)
913;Elyssa;Charity;Elyssa.Charity@gmail.com;MIEI;(7)
833;Meghann;Elsinore;Meghann.Elsinore@gmail.com;MIEFIS;(14,15,18,3,4,19)
925;Claresta;Stilwell;Claresta.Stilwell@gmail.com;LCC;(13,2)
991;Aaren;Faust;Aaren.Faust@gmail.com;MIEFIS;(19)
462;Robbi;Orlene;Robbi.Orlene@gmail.com;MIEI;(12,8,10,7,5,18)
934;Steffane;Willie;Steffane.Willie@gmail.com;LCC;(15,18)
771;Rani;Dyche;Rani.Dyche@gmail.com;MIEFIS;(6,0,4,17,11,8)
885;Arlena;Callista;Arlena.Callista@gmail.com;MIEFIS;(15,12,6,10)
393;Ekaterina;Marden;Ekaterina.Marden@gmail.com;LCC;(4,19,17,4)
565;Dari;Denis;Dari.Denis@gmail.com;MIEFIS;(14,8,12,17,11,1)
608;Selma;Syd;Selma.Syd@gmail.com;LCC;(5,14,18,6,8,0)
397;Ardenia;Loeb;Ardenia.Loeb@gmail.com;MIEI;(13,4)
431;Lucy;Cassius;Lucy.Cassius@gmail.com;LCC;(2,7,3,9,11,2)
896;Dianemarie;Charmine;Dianemarie.Charmine@gmail.com;MIEI;(6,4,6,7,18,13)
391;Kassey;Pelagias;Kassey.Pelagias@gmail.com;MIEFIS;(7,17)
626;Verla;Tillford;Verla.Tillford@gmail.com;MIEI;(10)
945;Fanny;Fiann;Fanny.Fiann@gmail.com;MIEI;(19)
715;Lynea;Kare;Lynea.Kare@gmail.com;MIEI;(11,8)
959;Annora;Pyle;Annora.Pyle@gmail.com;MIEFIS;(3)
477;Marylou;Podvin;Marylou.Podvin@gmail.com;MIEFIS;(11,19)
562;Sissy;Sidonius;Sissy.Sidonius@gmail.com;MIEFIS;(8,3)
595;Mara;Egbert;Mara.Egbert@gmail.com;LCC;(12,11,18,4,11)
765;Sashenka;Peg;Sashenka.Peg@gmail.com;LCC;(4,3,7,14)
402;Taffy;Wilkinson;Taffy.Wilkinson@gmail.com;MIEI;(17)
477;Fayre;Heisel;Fayre.Heisel@gmail.com;MIEFIS;(15,7,15,6)
703;Charmaine;Moina;Charmaine.Moina@gmail.com;LCC;(3,17,14)
838;Sharai;Neva;Sharai.Neva@gmail.com;MIEFIS;(13,14,15,3,7)
335;Shell;Seagraves;Shell.Seagraves@gmail.com;LCC;(11,1,5,12)
586;Jillayne;Heidt;Jillayne.Heidt@gmail.com;MIEFIS;(12,16,12,1,18,5)
754;Elka;Glovsky;Elka.Glovsky@gmail.com;LCC;(19)
518;Karena;Forrer;Karena.Forrer@gmail.com;MIEFIS;(8,12,11,10,9)
488;Camile;Lilas;Camile.Lilas@gmail.com;MIEI;(9,0,2)
710;Cathie;Graig;Cathie.Graig@gmail.com;LCC;(9,18,17,17)
897;Darci;Sallyann;Darci.Sallyann@gmail.com;MIEFIS;(2,14,13,12)
801;Jordan;Kauppi;Jordan.Kauppi@gmail.com;MIEI;(1,17)
665;Kirbee;Mathilde;Kirbee.Mathilde@gmail.com;LCC;(11,14,5,0,15,13)
557;Corina;Poll;Corina.Poll@gmail.com;LCC;(2,14,14,19,10,0)
620;Addia;Iiette;Addia.Iiette@gmail.com;MIEFIS;(5)
940;Yetty;Israeli;Yetty.Israeli@gmail.com;MIEFIS;(19,12,2,5)
368;Agathe;Wandie;Agathe.Wandie@gmail.com;MIEFIS;(3)
434;Deirdre;Cottle;Deirdre.Cottle@gmail.com;MIEFIS;(14,13,9,11,5,7)
783;Sara-Ann;Judye;Sara-Ann.Judye@gmail.com;MIEFIS;(9,5,0,15)
352;Paola;Herrera;Paola.Herrera@gmail.com;MIEI;(16,13,13,19,10,17)
150;Dominga;Ciro;Dominga.Ciro@gmail.com;MIEFIS;(18,19,7)
227;Shannah;Cimbura;Shannah.Cimbura@gmail.com;MIEFIS;(11,8,18,19)
199;Letizia;Lalitta;Letizia.Lalitta@gmail.com;MIEFIS;(11,16)
102;Belva;Docilla;Belva.Docilla@gmail.com;MIEFIS;(6)
226;Eadie;Franza;Eadie.Franza@gmail.com;MIEFIS;(12,10,13,16,1,7)
744;Trudie;Borrell;Trudie.Borrell@gmail.com;LCC;(15,8,15,2,8)
511;Talya;Glovsky;Talya.Glovsky@gmail.com;MIEI;(2,1)
665;Larine;Ietta;Larine.Ietta@gmail.com;MIEI;(7,12)
192;Letizia;Wolfgram;Letizia.Wolfgram@gmail.com;MIEFIS;(9,3,13)
875;Glynnis;Tyson;Glynnis.Tyson@gmail.com;LCC;(11,19,16,1,12)
178;Frieda;Donell;Frieda.Donell@gmail.com;MIEI;(6,3)
176;Ronna;Daegal;Ronna.Daegal@gmail.com;LCC;(2,16,16,6,7,12)
350;Pamella;Estella;Pamella.Estella@gmail.com;LCC;(3,6,7,10,15)
681;Giustina;Martsen;Giustina.Martsen@gmail.com;MIEI;(9)
502;Charlena;Niccolo;Charlena.Niccolo@gmail.com;LCC;(3,17,13,10,1,15)
496;Tami;Emmy;Tami.Emmy@gmail.com;MIEFIS;(18,10,13,9,17)
815;Elvira;Lasley;Elvira.Lasley@gmail.com;LCC;(8,12,16,13,9,18)
789;Sheree;Seumas;Sheree.Seumas@gmail.com;LCC;(18,13,17)
113;Ninnetta;Elisha;Ninnetta.Elisha@gmail.com;MIEI;(8,14,14)
919;Tonia;Eckblad;Tonia.Eckblad@gmail.com;MIEFIS;(0,2,7)
231;Lizzie;Capello;Lizzie.Capello@gmail.com;MIEI;(7,18,3,8,6)
721;Katuscha;Heisel;Katuscha.Heisel@gmail.com;LCC;(8,10)
482;Lorenza;Susannah;Lorenza.Susannah@gmail.com;LCC;(3,12,5,9,1)
311;Karly;Pillsbury;Karly.Pillsbury@gmail.com;LCC;(7,7)
179;Valera;Atcliffe;Valera.Atcliffe@gmail.com;MIEFIS;(5,9,3,10)
989;Jan;Reidar;Jan.Reidar@gmail.com;MIEI;(12,11)
136;Carol-Jean;Dreda;Carol-Jean.Dreda@gmail.com;LCC;(11,18,2,15,17)
717;Ninnetta;Sekofski;Ninnetta.Sekofski@gmail.com;LCC;(18)
672;Pearline;Zetta;Pearline.Zetta@gmail.com;MIEFIS;(16)
202;Arlina;Koehler;Arlina.Koehler@gmail.com;MIEI;(12,6)
769;Thalia;Voletta;Thalia.Voletta@gmail.com;MIEI;(7)
743;Fayre;Hutchison;Fayre.Hutchison@gmail.com;LCC;(3,12,19,0,8,1)
594;Fanchon;Riordan;Fanchon.Riordan@gmail.com;MIEFIS;(8)
474;Vere;Emmaline;Vere.Emmaline@gmail.com;MIEI;(9,8,5,18,1)
347;Tatiania;Burkle;Tatiania.Burkle@gmail.com;LCC;(18,18,11,14)
189;Drucie;Aloise;Drucie.Aloise@gmail.com;MIEFIS;(5)
975;Tierney;Judye;Tierney.Judye@gmail.com;LCC;(4,12,5,12,14)
959;Ricky;Simmonds;Ricky.Simmonds@gmail.com;LCC;(6,4)
747;Bernardine;Devlen;Bernardine.Devlen@gmail.com;MIEI;(10,11,16,18,10,9)
134;Molli;Yerkovich;Molli.Yerkovich@gmail.com;MIEI;(18,7,18,18,17)
836;Gwyneth;Kimmie;Gwyneth.Kimmie@gmail.com;MIEI;(13,4)
339;Keelia;Vorster;Keelia.Vorster@gmail.com;MIEFIS;(7)
981;Marti;Morrill;Marti.Morrill@gmail.com;LCC;(19,7,13,17,5)
794;Vere;Pernick;Vere.Pernick@gmail.com;LCC;(6,3,5,18)
254;Chastity;Devlen;Chastity.Devlen@gmail.com;MIEFIS;(13,3,15)
348;Hettie;Cullin;Hettie.Cullin@gmail.com;MIEFIS;(10,8,7,16)
532;Joceline;Bronk;Joceline.Bronk@gmail.com;MIEFIS;(8,10,19,7,4)
371;Tina;Mallon;Tina.Mallon@gmail.com;LCC;(12,19,8,1,14)
184;Viviene;Marlie;Viviene.Marlie@gmail.com;LCC;(14,3,3,0)
306;Allyce;Prober;Allyce.Prober@gmail.com;MIEFIS;(4,16,6,7,1,10)
657;Theodora;Keily;Theodora.Keily@gmail.com;MIEFIS;(18,6,5,18)
732;Marita;Chesna;Marita.Chesna@gmail.com;LCC;(18)
161;Gretal;Vastah;Gretal.Vastah@gmail.com;MIEFIS;(12,5,10,15,10)
595;Althea;Irmine;Althea.Irmine@gmail.com;LCC;(7,19,9,6,10,1)
975;Valera;Aloise;Valera.Aloise@gmail.com;LCC;(6,16,10)
360;Ardenia;Esmaria;Ardenia.Esmaria@gmail.com;LCC;(5,8,9,9,7,18)
534;Leia;Dex;Leia.Dex@gmail.com;MIEI;(12,9,19,1,1,6)
490;Lorie;Rooney;Lorie.Rooney@gmail.com;MIEFIS;(7,5,0,5)
423;Shirlee;Dorine;Shirlee.Dorine@gmail.com;MIEFIS;(10)
853;Lonnie;Janith;Lonnie.Janith@gmail.com;LCC;(12,0,14)
354;Moyna;Kazimir;Moyna.Kazimir@gmail.com;LCC;(5)
485;Larine;Hoenack;Larine.Hoenack@gmail.com;LCC;(5,17,1,17)
911;Damaris;Jarib;Damaris.Jarib@gmail.com;MIEI;(9,7,6,5,10,11)
383;Meghann;Hartnett;Meghann.Hartnett@gmail.com;MIEI;(7,15,9,9)
413;Millie;Cimbura;Millie.Cimbura@gmail.com;MIEFIS;(0,12,19)
747;Arabel;Karl;Arabel.Karl@gmail.com;LCC;(0)
904;Gilligan;Han;Gilligan.Han@gmail.com;MIEI;(0,4,3,8)
802;Candi;Magnolia;Candi.Magnolia@gmail.com;MIEFIS;(11,18,12,10,1)
216;Helena;Eldrid;Helena.Eldrid@gmail.com;LCC;(6,6,1,9)
874;Susette;Mayeda;Susette.Mayeda@gmail.com;LCC;(2,11,3,6,2,18)
203;Arlena;Sisile;Arlena.Sisile@gmail.com;MIEI;(12,7,10,16,12)
189;Rosabelle;Annabella;Rosabelle.Annabella@gmail.com;MIEI;(18,12,12,9,3)
350;Sibella;Aldric;Sibella.Aldric@gmail.com;MIEI;(10,1)
720;Nessie;Carey;Nessie.Carey@gmail.com;LCC;(11,5,1)
304;Celene;MacIntosh;Celene.MacIntosh@gmail.com;MIEI;(10,11,13,19)
655;Jessy;Ardra;Jessy.Ardra@gmail.com;MIEFIS;(14,16)
688;Elka;Tippets;Elka.Tippets@gmail.com;MIEFIS;(4,18)
218;Pearline;Evvie;Pearline.Evvie@gmail.com;MIEI;(19,14,10)
610;Joceline;Annice;Joceline.Annice@gmail.com;MIEFIS;(4,0,4,1,19)
740;Clo;Ferrell;Clo.Ferrell@gmail.com;MIEFIS;(4,12,11,4)
771;Laure;Wolfgram;Laure.Wolfgram@gmail.com;LCC;(8)
129;Leontine;Brunell;Leontine.Brunell@gmail.com;MIEFIS;(11,18)
640;Lanna;Sawtelle;Lanna.Sawtelle@gmail.com;MIEI;(1,15,9,2,1,2)
437;Betta;Drisko;Betta.Drisko@gmail.com;LCC;(14,14,8,9,18,17)
748;Marguerite;Waite;Marguerite.Waite@gmail.com;MIEFIS;(7,2,12,2,19,18)
516;Madeleine;Fairweather;Madeleine.Fairweather@gmail.com;MIEFIS;(19)
224;Mahalia;Weide;Mahalia.Weide@gmail.com;LCC;(0,5,7,11)
137;Albertina;Bahr;Albertina.Bahr@gmail.com;MIEFIS;(8,4,6,8,14,2)
537;Fidelia;Libna;Fidelia.Libna@gmail.com;MIEI;(8,11,15,3,11)
619;Celestyna;Carmena;Celestyna.Carmena@gmail.com;MIEI;(12)
452;Bill;Barney;Bill.Barney@gmail.com;LCC;(7)
934;Codie;Septima;Codie.Septima@gmail.com;LCC;(8,9,5,17,9)
552;Petronia;Ferino;Petronia.Ferino@gmail.com;LCC;(19,7)
279;Glynnis;Riordan;Glynnis.Riordan@gmail.com;LCC;(14,19)
697;Ruthe;Sabella;Ruthe.Sabella@gmail.com;MIEI;(16,10,5,8,16,5)
604;Sheelagh;Valerio;Sheelagh.Valerio@gmail.com;LCC;(2)
409;Eolanda;Orpah;Eolanda.Orpah@gmail.com;MIEFIS;(3,0,13)
187;Kylynn;Rugen;Kylynn.Rugen@gmail.com;MIEFIS;(18,5,0,15,5)
738;Marline;Levey;Marline.Levey@gmail.com;MIEI;(14,2,7,2,12,9)
553;Mireielle;Cimbura;Mireielle.Cimbura@gmail.com;MIEI;(1,3,15,1)
538;Collen;Raffo;Collen.Raffo@gmail.com;LCC;(11,5,14)
770;Vanessa;Pernick;Vanessa.Pernick@gmail.com;MIEFIS;(12,5,16)
404;Marnia;Gahl;Marnia.Gahl@gmail.com;MIEFIS;(7,16,13)
737;Philis;Heidt;Philis.Heidt@gmail.com;LCC;(4,12)
379;Latisha;Gombach;Latisha.Gombach@gmail.com;LCC;(6)
718;Courtnay;Killigrew;Courtnay.Killigrew@gmail.com;LCC;(10,11,3,10,12)
682;Yolane;Kimmie;Yolane.Kimmie@gmail.com;LCC;(8)
600;Gabriellia;Georgy;Gabriellia.Georgy@gmail.com;MIEFIS;(11)
159;Kelly;Winthorpe;Kelly.Winthorpe@gmail.com;LCC;(7,6,3,16)
366;Aili;Gilmour;Aili.Gilmour@gmail.com;MIEI;(12,0,13,0,15)
569;Dacia;Heidt;Dacia.Heidt@gmail.com;MIEI;(12,18,19)
826;Mahalia;Silvan;Mahalia.Silvan@gmail.com;MIEFIS;(11,14)
746;Cassandra;Edmund;Cassandra.Edmund@gmail.com;LCC;(11,5,15)
921;Gilligan;Creamer;Gilligan.Creamer@gmail.com;LCC;(4)
963;Doro;Plato;Doro.Plato@gmail.com;LCC;(0,4)
795;Lindie;Lymann;Lindie.Lymann@gmail.com;LCC;(16,3,2,9,10)
474;Annora;Cath;Annora.Cath@gmail.com;LCC;(14,18,16,6,7)
243;Courtnay;Heidt;Courtnay.Heidt@gmail.com;MIEI;(18)
468;Sidoney;Center;Sidoney.Center@gmail.com;MIEI;(19,0,1,17)
437;Alexine;Liva;Alexine.Liva@gmail.com;LCC;(0)
662;Cathyleen;Hailee;Cathyleen.Hailee@gmail.com;MIEFIS;(3,19)
933;Elora;Borrell;Elora.Borrell@gmail.com;LCC;(10,8,10,11,4,9)
503;Alyda;Catie;Alyda.Catie@gmail.com;MIEI;(17,8,8,10)
870;Mariann;Read;Mariann.Read@gmail.com;MIEFIS;(19)
902;Florencia;Georas;Florencia.Georas@gmail.com;MIEFIS;(1,13)
118;Kaja;Pierette;Kaja.Pierette@gmail.com;MIEI;(18,19,7)
667;Bettine;Roxanna;Bettine.Roxanna@gmail.com;MIEFIS;(8,2,6,8,12,8)
814;Roseline;Sperling;Roseline.Sperling@gmail.com;MIEFIS;(15,1,5,13)
944;Angelique;Mallon;Angelique.Mallon@gmail.com;MIEI;(10,1,6,18,18)
822;Emylee;Leler;Emylee.Leler@gmail.com;LCC;(7,10,14,11)
910;Oralee;Stuart;Oralee.Stuart@gmail.com;MIEI;(15)
727;Modestia;Clarissa;Modestia.Clarissa@gmail.com;MIEFIS;(7,17,15)
282;Kathy;Giule;Kathy.Giule@gmail.com;MIEI;(6,1,13,15)
104;Georgetta;Sperling;Georgetta.Sperling@gmail.com;MIEI;(10)
381;Marcelline;Neils;Marcelline.Neils@gmail.com;LCC;(18,7,11)
399;Danny;Bergman;Danny.Bergman@gmail.com;LCC;(5,9,4,1,6,10)
165;Gerianna;Albertine;Gerianna.Albertine@gmail.com;MIEFIS;(13,10,7,11,14)
211;Bobinette;Duwalt;Bobinette.Duwalt@gmail.com;MIEI;(9,11,14)
828;Florie;Goode;Florie.Goode@gmail.com;LCC;(2,6,9)
667;Wilma;Kirbee;Wilma.Kirbee@gmail.com;LCC;(10,10,15,18,2,10)
153;Kenna;Anestassia;Kenna.Anestassia@gmail.com;LCC;(3,11,1,19)
384;Feliza;Eugenia;Feliza.Eugenia@gmail.com;MIEI;(4,0)
854;Lisette;Demitria;Lisette.Demitria@gmail.com;MIEI;(0,0,5)
937;Grier;Johanna;Grier.Johanna@gmail.com;LCC;(16,3,17,2,4,4)
618;Paule;Drisko;Paule.Drisko@gmail.com;MIEI;(11,11)
266;Dode;Maisey;Dode.Maisey@gmail.com;LCC;(3,10)
881;Sallie;Westphal;Sallie.Westphal@gmail.com;MIEFIS;(2)
687;Adele;Concha;Adele.Concha@gmail.com;LCC;(2)
568;Lorne;Kermit;Lorne.Kermit@gmail.com;MIEFIS;(18,1)
149;Alisha;Rooney;Alisha.Rooney@gmail.com;MIEFIS;(10)
607;Maye;Beebe;Maye.Beebe@gmail.com;MIEFIS;(7,10,14,1,12,5)
137;Etta;Skurnik;Etta.Skurnik@gmail.com;MIEI;(14,13,4,3)
634;Felice;Faust;Felice.Faust@gmail.com;MIEI;(8,16,18,14)
549;Jessamyn;Allare;Jessamyn.Allare@gmail.com;MIEFIS;(9,8,2,19,15,4)
686;Nollie;Bultman;Nollie.Bultman@gmail.com;MIEFIS;(4,13,10,15,14)
146;Di;Pillsbury;Di.Pillsbury@gmail.com;LCC;(7,0,7)
476;Starla;Rese;Starla.Rese@gmail.com;MIEI;(12,0,3,8)
668;Max;Chandler;Max.Chandler@gmail.com;MIEI;(4,14,5)
933;Carolina;Gavrila;Carolina.Gavrila@gmail.com;MIEFIS;(3)
238;Michaelina;Judye;Michaelina.Judye@gmail.com;MIEFIS;(18,10,11,0)
683;Sean;Cleo;Sean.Cleo@gmail.com;MIEFIS;(8)
508;Kore;Wu;Kore.Wu@gmail.com;LCC;(7,2,10,0,15,5)
574;Natka;Myrilla;Natka.Myrilla@gmail.com;MIEFIS;(14,17,14)
405;Hope;Magnolia;Hope.Magnolia@gmail.com;LCC;(8,10,10)
836;Sue;Camden;Sue.Camden@gmail.com;MIEI;(5)
379;Steffane;Craggie;Steffane.Craggie@gmail.com;MIEI;(8,6,8,11,18)
367;Edyth;Emerson;Edyth.Emerson@gmail.com;MIEFIS;(10,18)
731;Taffy;An;Taffy.An@gmail.com;MIEI;(9,11,19,3,11)
594;Rozele;Mauer;Rozele.Mauer@gmail.com;MIEI;(12,9,5,13,13,10)
937;Beth;Glovsky;Beth.Glovsky@gmail.com;MIEI;(11,7)
